 # r       w_scrn(r)      v_ch(r)
    0.2472352175E-01    0.5553440546E+01    0.7497153872E+01
    0.2599112382E-01    0.5538801624E+01    0.7482282299E+01
    0.2732371724E-01    0.5522869228E+01    0.7466096740E+01
    0.2872463418E-01    0.5505542195E+01    0.7448494377E+01
    0.3019737766E-01    0.5486713284E+01    0.7429366319E+01
    0.3174563032E-01    0.5466269323E+01    0.7408597533E+01
    0.3337326359E-01    0.5444090973E+01    0.7386066845E+01
    0.3508434741E-01    0.5420053038E+01    0.7361646988E+01
    0.3688316037E-01    0.5394024319E+01    0.7335204737E+01
    0.3877420044E-01    0.5365868115E+01    0.7306601114E+01
    0.4076219620E-01    0.5335442222E+01    0.7275691705E+01
    0.4285211869E-01    0.5302599677E+01    0.7242327065E+01
    0.4504919380E-01    0.5267188934E+01    0.7206353261E+01
    0.4735891536E-01    0.5229054900E+01    0.7167612535E+01
    0.4978705887E-01    0.5188039360E+01    0.7125944116E+01
    0.5233969597E-01    0.5143982329E+01    0.7081185186E+01
    0.5502320956E-01    0.5096722795E+01    0.7033172016E+01
    0.5784430984E-01    0.5046100398E+01    0.6981741274E+01
    0.6081005103E-01    0.4991956571E+01    0.6926731515E+01
    0.6392784901E-01    0.4934136541E+01    0.6867984862E+01
    0.6720549992E-01    0.4872490931E+01    0.6805348874E+01
    0.7065119958E-01    0.4806878019E+01    0.6738678599E+01
    0.7427356405E-01    0.4737165897E+01    0.6667838802E+01
    0.7808165111E-01    0.4663234848E+01    0.6592706365E+01
    0.8208498297E-01    0.4584980147E+01    0.6513172828E+01
    0.8629357004E-01    0.4502314339E+01    0.6429147046E+01
    0.9071793599E-01    0.4415170756E+01    0.6340557938E+01
    0.9536914403E-01    0.4323505377E+01    0.6247357273E+01
    0.1002588246E+00    0.4227301135E+01    0.6149522455E+01
    0.1053992045E+00    0.4126568926E+01    0.6047059233E+01
    0.1108031372E+00    0.4021352776E+01    0.5940004291E+01
    0.1164841356E+00    0.3911729399E+01    0.5828427622E+01
    0.1224564049E+00    0.3797814350E+01    0.5712434629E+01
    0.1287348790E+00    0.3679759452E+01    0.5592167846E+01
    0.1353352574E+00    0.3557760038E+01    0.5467808215E+01
    0.1422740444E+00    0.3432049379E+01    0.5339575826E+01
    0.1495685907E+00    0.3302907289E+01    0.5207730034E+01
    0.1572371363E+00    0.3170650748E+01    0.5072568887E+01
    0.1652988567E+00    0.3035644064E+01    0.4934427804E+01
    0.1737739103E+00    0.2898284728E+01    0.4793677460E+01
    0.1826834892E+00    0.2759015742E+01    0.4650720839E+01
    0.1920498720E+00    0.2618305983E+01    0.4505989473E+01
    0.2018964795E+00    0.2476665138E+01    0.4359938889E+01
    0.2122479333E+00    0.2334617755E+01    0.4213043302E+01
    0.2231301176E+00    0.2192721909E+01    0.4065789680E+01
    0.2345702434E+00    0.2051536594E+01    0.3918671263E+01
    0.2465969169E+00    0.1911644839E+01    0.3772180712E+01
    0.2592402112E+00    0.1773613931E+01    0.3626803060E+01
    0.2725317411E+00    0.1638024645E+01    0.3483008652E+01
    0.2865047422E+00    0.1505424481E+01    0.3341246303E+01
    0.3011941545E+00    0.1376363649E+01    0.3201936884E+01
    0.3166367090E+00    0.1251341160E+01    0.3065467533E+01
    0.3328710202E+00    0.1130849354E+01    0.2932186713E+01
    0.3499376824E+00    0.1015313539E+01    0.2802400252E+01
    0.3678793710E+00    0.9051447687E+00    0.2676368513E+01
    0.3867409497E+00    0.8006732629E+00    0.2554304767E+01
    0.4065695822E+00    0.7022104593E+00    0.2436374788E+01
    0.4274148504E+00    0.6099776436E+00    0.2322697654E+01
    0.4493288784E+00    0.5241749331E+00    0.2213347663E+01
    0.4723664626E+00    0.4449061817E+00    0.2108357228E+01
    0.4965852091E+00    0.3722545290E+00    0.2007720585E+01
    0.5220456772E+00    0.3062061988E+00    0.1911398099E+01
    0.5488115314E+00    0.2467280015E+00    0.1819320967E+01
    0.5769497003E+00    0.1936924561E+00    0.1731396072E+01
    0.6065305440E+00    0.1469559433E+00    0.1647510806E+01
    0.6376280300E+00    0.1062888041E+00    0.1567537671E+01
    0.6703199182E+00    0.7144852621E-01    0.1491338508E+01
    0.7046879553E+00    0.4211787770E-01    0.1418768261E+01
    0.7408180794E+00    0.1797220221E-01    0.1349678201E+01
    0.7788006345E+00   -0.1371617005E-02    0.1283918596E+01
    0.8187305969E+00   -0.1629845806E-01    0.1221340837E+01
    0.8607078123E+00   -0.2723360951E-01    0.1161799058E+01
    0.9048372455E+00   -0.3459630658E-01    0.1105151316E+01
    0.9512292431E+00   -0.3882611095E-01    0.1051260386E+01
    0.9999998093E+00   -0.4034916610E-01    0.9999942623E+00
    0.1051270896E+01   -0.3959327178E-01    0.9512264161E+00
    0.1105170707E+01   -0.3696517747E-01    0.9048358828E+00
    0.1161834021E+01   -0.3285699381E-01    0.8607072255E+00
    0.1221402525E+01   -0.2763427491E-01    0.8187304152E+00
    0.1284025172E+01   -0.2163587711E-01    0.7788006611E+00
    0.1349858550E+01   -0.1517021297E-01    0.7408182109E+00
    0.1419067278E+01   -0.8511870744E-02    0.7046881378E+00
    0.1491824413E+01   -0.1903471078E-02    0.6703201234E+00
    0.1568311886E+01    0.4448924615E-02    0.6376282431E+00
    0.1648720956E+01    0.1037105532E-01    0.6065307572E+00
    0.1733252687E+01    0.1572363457E-01    0.5769499094E+00
    0.1822118453E+01    0.2039863136E-01    0.5488117341E+00
    0.1915540464E+01    0.2431711070E-01    0.5220458724E+00
    0.2013752323E+01    0.2742697737E-01    0.4965853963E+00
    0.2116999613E+01    0.2970133348E-01    0.4723666417E+00
    0.2225540504E+01    0.3117554260E-01    0.4493290493E+00
    0.2339646406E+01    0.3190291214E-01    0.4274150134E+00
    0.2459602642E+01    0.3195038704E-01    0.4065697374E+00
    0.2585709166E+01    0.3139704121E-01    0.3867410974E+00
    0.2718281310E+01    0.3033218933E-01    0.3678795116E+00
