natx =      603
    x       y        z       iph  
      4.38843     -3.15151      9.82318   1     11.21094
      4.38843      3.15151      9.82318   1     11.21094
     -2.08067    -11.03030     -0.04497   1     11.22492
     -2.08067     11.03030     -0.04497   1     11.22492
      6.71182     -7.87879      4.37871   3     11.23819
      6.71182      7.87879      4.37871   3     11.23819
     10.50000     -3.15151     -2.54322   3     11.25389
     10.50000      3.15151     -2.54322   3     11.25389
      4.30656     -3.15151     -9.92224   1     11.26629
      4.30656      3.15151     -9.92224   1     11.26629
      7.97580     -7.87879      1.20595   2     11.27577
      7.97580      7.87879      1.20595   2     11.27577
     -0.02897    -11.03030     -2.44913   3     11.29896
     -0.02897     11.03030     -2.44913   3     11.29896
      2.32503    -11.03030      0.85860   3     11.30533
      2.32503     11.03030      0.85860   3     11.30533
      0.10644    -11.03030      2.53657   3     11.31870
      0.10644     11.03030      2.53657   3     11.31870
      8.91432     -1.57576     -6.87771   3     11.36886
      8.91432      1.57576     -6.87771   3     11.36886
      7.39187      0.00000      8.65652   2     11.38311
      6.54099     -6.30303      6.86619   3     11.38672
      6.54099      6.30303      6.86619   3     11.38672
     11.00250      0.00000      2.96354   1     11.39463
      9.46656     -6.30303      0.81305   3     11.40197
      9.46656      6.30303      0.81305   3     11.40197
     -5.99302     -6.30303     -7.37542   3     11.40357
     -5.99302      6.30303     -7.37542   3     11.40357
      5.66524     -7.87879      6.03431   2     11.42730
      5.66524      7.87879      6.03431   2     11.42730
     -5.95208     -9.45454      2.49729   3     11.44780
     -5.95208      9.45454      2.49729   3     11.44780
     -0.75529     -9.45454      6.48905   2     11.49202
     -0.75529      9.45454      6.48905   2     11.49202
      4.62498     -9.45454     -4.67320   3     11.51597
      4.62498      9.45454     -4.67320   3     11.51597
     -1.86086     -9.45454     -6.32550   1     11.52662
     -1.86086      9.45454     -6.32550   1     11.52662
      2.14457      0.00000    -11.34030   3     11.54130
    -10.39770     -3.15151      3.93241   3     11.55457
    -10.39770      3.15151      3.93241   3     11.55457
     -5.03092     -9.45454      4.36759   2     11.56609
     -5.03092      9.45454      4.36759   2     11.56609
    -10.49740     -4.72727      1.44226   3     11.60270
    -10.49740      4.72727      1.44226   3     11.60270
     -6.40811     -1.57576     -9.54521   3     11.60422
     -6.40811      1.57576     -9.54521   3     11.60422
     -6.28146     -6.30303      7.44986   3     11.60540
     -6.28146      6.30303      7.44986   3     11.60540
      9.58075     -1.57576      6.36810   2     11.61148
      9.58075      1.57576      6.36810   2     11.61148
     -6.32239     -9.45454     -2.42285   3     11.62889
     -6.32239      9.45454     -2.42285   3     11.62889
      1.27921      0.00000     11.58580   2     11.65621
      8.77513     -6.30303     -4.42679   3     11.67594
      8.77513      6.30303     -4.42679   3     11.67594
      8.41788     -7.87879     -1.88296   3     11.68253
      8.41788      7.87879     -1.88296   3     11.68253
      6.67089     -7.87879     -5.49399   3     11.69444
      6.67089      7.87879     -5.49399   3     11.69444
      7.75059     -6.30303     -6.08879   2     11.69928
      7.75059      6.30303     -6.08879   2     11.69928
     -9.52572     -6.30303     -2.55535   2     11.70459
     -9.52572      6.30303     -2.55535   2     11.70459
      6.49622     -1.57576      9.61655   3     11.71162
      6.49622      1.57576      9.61655   3     11.71162
     -0.04094     -6.30303     -9.87271   3     11.71325
      0.04094     -6.30303      9.87271   3     11.71325
     -0.04094      6.30303     -9.87271   3     11.71325
      0.04094      6.30303      9.87271   3     11.71325
     -8.53393     -7.87879     -1.56477   3     11.71972
     -8.53393      7.87879     -1.56477   3     11.71972
      2.38384     -9.45454     -6.52397   3     11.73172
      2.38384      9.45454     -6.52397   3     11.73172
      8.45882     -1.57576      7.98975   3     11.74184
      8.45882      1.57576      7.98975   3     11.74184
     -3.31495      0.00000     11.26940   3     11.74684
     10.74180     -4.72727     -0.62864   1     11.75281
     10.74180      4.72727     -0.62864   1     11.75281
      4.66592     -9.45454      5.19951   3     11.75560
      4.66592      9.45454      5.19951   3     11.75560
      1.04966     -4.72727    -10.72550   2     11.76797
      1.04966      4.72727    -10.72550   2     11.76797
    -11.58420      0.00000      2.29679   2     11.80970
      7.39187     -3.15151      8.65652   2     11.81131
      7.39187      3.15151      8.65652   2     11.81131
     -8.15653     -6.30303      5.78318   3     11.81957
     -8.15653      6.30303      5.78318   3     11.81957
     11.00250     -3.15151      2.96354   1     11.82242
     11.00250      3.15151      2.96354   1     11.82242
    -11.73180     -1.57576     -0.26908   2     11.84021
    -11.73180      1.57576     -0.26908   2     11.84021
      6.87036     -9.45454      1.91362   3     11.84281
      6.87036      9.45454      1.91362   3     11.84281
      4.32945     -7.87879      7.72427   3     11.85259
      4.32945      7.87879      7.72427   3     11.85259
      7.93487     -1.57576     -8.66676   2     11.85571
      7.93487      1.57576     -8.66676   2     11.85571
      6.50005     -9.45454     -3.00652   3     11.86078
      6.50005      9.45454     -3.00652   3     11.86078
     -5.51246      0.00000    -10.50520   2     11.86366
     -3.28263    -11.03030     -2.92094   2     11.87329
     -3.28263     11.03030     -2.92094   2     11.87329
    -10.34730     -4.72727     -3.43452   3     11.88317
    -10.34730      4.72727     -3.43452   3     11.88317
     -4.00638     -9.45454      6.02959   3     11.90779
     -4.00638      9.45454      6.02959   3     11.90779
      1.46519    -11.03030      4.24129   2     11.90810
      1.46519     11.03030      4.24129   2     11.90810
     -4.40457    -11.03030     -1.29929   3     11.94805
     -4.40457     11.03030     -1.29929   3     11.94805
      2.36596     -4.72727     10.73130   3     11.96268
      2.36596      4.72727     10.73130   3     11.96268
      2.14457     -3.15151    -11.34030   3     11.96385
      2.14457      3.15151    -11.34030   3     11.96385
     -9.48478      0.00000      7.31736   2     11.97935
     -8.49299     -1.57576      8.30794   3     11.98481
     -8.49299      1.57576      8.30794   3     11.98481
     -1.75633    -11.03030     -4.36855   3     11.99318
