natx =      415
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.06913     -0.01182      1.85692   2      1.85824
      0.04536      0.27966     -1.83950   2      1.86119
      2.93086      6.04601      7.42300   1     10.01225
      2.94056      6.05756     -7.44931   1     10.04157
     -8.14685     -5.90443      0.00154   1     10.06148
     -2.13151      3.18993     -9.30158   2     10.06173
     -2.68559     -2.76977      9.29600   2     10.06477
      3.05260     -8.84038      3.73094   3     10.06929
      2.82863     -2.77873      9.29265   2     10.10326
      8.37586      5.66824     -0.01750   1     10.11357
     -5.88426      8.03671     -1.79529   3     10.12108
     -2.69557      3.02999      9.29150   2     10.13799
     -3.58620      1.36818      9.39249   3     10.14651
     -8.90557     -4.52883     -1.84529   3     10.15995
      2.81866      3.02104      9.28815   2     10.16569
      3.14099      8.95436     -3.71104   3     10.18912
      3.39269     -2.61879     -9.30043   2     10.24043
      7.46191     -4.43794     -5.48202   3     10.26781
      8.39582     -5.93129     -0.00850   1     10.27959
     -8.19012     -2.74927     -5.57296   2     10.28078
     -2.12125     -8.42115      5.57972   2     10.32225
     -9.12776     -4.51328      1.75319   3     10.33244
      7.39494      7.05939      1.73415   3     10.36954
     -8.20009      3.05049     -5.57746   2     10.37569
      7.38971     -7.01237      1.98408   3     10.37871
      3.38271      3.18097     -9.30493   2     10.39918
      8.35255     -2.77613     -5.58301   2     10.42315
      1.90955      4.64176      9.15323   3     10.43906
     -9.17290      4.61402      1.98513   3     10.45811
      7.43347      4.64436     -5.72243   3     10.46770
      8.34257      3.02363     -5.58751   2     10.48623
     -8.09520     -5.58476      3.72108   1     10.51514
      7.61794      4.66259      5.57987   3     10.53127
      7.61713      7.04384     -1.86433   3     10.54097
     -2.66592     -8.55799     -5.57181   2     10.55421
      1.93800     -4.44053      9.39363   3     10.56950
     -8.91475     -1.11031      5.59442   3     10.58315
      2.84830     -8.56695     -5.57516   2     10.61074
      2.11341      4.68309     -9.28909   3     10.61532
     -8.14068      5.75443     -3.73644   1     10.64637
      1.91065    -10.33100      1.75099   3     10.65111
      3.39297     -8.43010      5.57637   2     10.66184
     -8.12072     -5.84509     -3.72744   1     10.67731
     -9.09073      1.38868     -5.47648   3     10.70335
      2.13285    -10.34650     -1.84749   3     10.72438
      1.84556     10.39590      1.97394   3     10.74138
     -5.39125     -0.19246     -9.28933   2     10.74217
     -8.11516      6.01477      3.71208   1     10.76164
     -5.44984      0.13634      9.29612   2     10.77670
     -2.15118      8.97814      5.56623   2     10.78042
      8.44746     -5.61162      3.71103   1     10.79915
     -2.69585      8.84130     -5.58531   2     10.79962
     -9.09921     -1.12855     -5.70789   3     10.80043
      8.89722     -2.63929      5.56853   2     10.82289
      2.81837      8.83235     -5.58866   2     10.82528
     -5.43707     -5.71018     -7.43015   3     10.83398
      5.57860      0.11844      9.28942   2     10.83643
      8.40198      5.72757     -3.74649   1     10.83672
     -5.44676     -5.72173      7.44216   3     10.85316
      0.11299      5.59835     -9.29717   2     10.85319
      5.17412     -9.38049     -1.78849   3     10.86111
      5.18389     -2.16972     -9.29638   3     10.86292
      5.63719     -0.21036     -9.29602   2     10.87374
     -3.60467      4.65072      9.15658   3     10.88420
      0.07436     -5.67237      9.29727   2     10.89131
      8.42194     -5.87195     -3.73749   1     10.92601
      5.59137     -5.72809     -7.43685   3     10.92617
      5.58168     -5.73963      7.43546   3     10.92632
     -5.46672      5.87780      7.43316   3     10.94008
     -5.45702      5.88935     -7.43915   3     10.94552
     -3.40081      4.69204     -9.28574   3     10.94558
      8.88724      3.16047      5.56403   2     10.95126
     -0.35998      9.42722      5.57028   3     10.95582
      5.56172      5.85990      7.42646   3     10.97376
      8.42750      5.98791      3.70204   1     10.98103
     -8.07790      0.27570     -7.43811   1     10.98426
     -3.57622     -4.43158      9.39698   3     10.98779
     -8.08760      0.26416      7.43420   1     10.98847
      5.57142      5.87144     -7.44585   3     10.99796
      0.05440      5.92715      9.28827   2     11.01844
    -11.02840      0.01791      0.00670   3     11.02842
     11.02840     -0.01791     -0.00670   3     11.02842
     -3.38137    -10.33750     -1.84414   3     11.03170
      5.18417     -7.98102      5.58043   3     11.03238
     10.66840      2.21008     -1.80084   3     11.04275
      0.13295     -6.00118     -9.28818   2     11.05903
     -3.60357    -10.32200      1.75434   3     11.07281
      3.36304      8.96919      5.56288   2     11.07710
    -10.95930      0.00609      1.86362   2     11.11663
    -10.98310      0.29757     -1.83280   2     11.13895
      0.04227      0.02301    -11.15150   3     11.15160
      0.01334      0.12145     11.15420   3     11.15487
     -5.84455     -2.15181     -9.28968   3     11.18424
     -5.85433     -9.36258     -1.78180   3     11.18507
