natx =      441
    x       y        z       iph  
      1.94414    -10.14900      5.13251   3     11.53796
     -2.38516     -8.73624      7.15725   3     11.54284
      0.18069     -8.56982     -7.74801   1     11.55449
      0.14958    -11.40600     -1.87672   2     11.56033
      0.10220      8.66330     -7.66538   1     11.56811
     -2.48529      8.42537     -7.58307   3     11.60459
     -0.76878     -7.27649      9.01130   3     11.60784
      8.19492     -3.11021     -7.62102   3     11.61508
    -10.26920     -5.16620      1.67853   2     11.61738
    -11.00340     -3.38998      1.70770   3     11.63972
     -2.31890     -2.90606     11.04300   3     11.65205
      1.50347     -7.07412     -9.14023   3     11.65536
     -7.50227     -8.77008      1.65538   2     11.65927
      2.82865      8.40196     -7.57450   3     11.66050
     -2.34506      2.83831     11.07050   3     11.66667
     -7.86622     -8.41631     -1.86215   2     11.66959
      2.92878     -8.75966      7.16581   3     11.69009
     -7.83522     -8.00863      3.33969   3     11.69112
      0.04492     11.57150     -1.76654   2     11.70565
     -9.15510      4.53296      5.72067   3     11.70853
      7.15772     -0.96993      9.23442   3     11.72383
     -6.13505      4.23567      9.05782   3     11.73132
     -5.09464     -5.42131      9.08479   2     11.74220
      0.00003    -11.12280     -3.83329   3     11.76481
     10.77930      2.91354     -3.71099   1     11.76663
     10.80550     -2.83083     -3.73854   1     11.77918
    -10.56010      0.16473      5.22612   2     11.78368
     -9.19555     -7.02391     -2.31212   3     11.79997
      2.96888      2.81489     11.07910   3     11.81035
      2.99504     -2.92948     11.05150   3     11.81896
      1.44662     10.23050      5.76534   3     11.83195
     -3.36980    -10.12560      5.12395   3     11.83800
     -9.15153      7.29307     -1.90473   3     11.85611
      8.07560     -8.48656     -1.83644   2     11.85789
     -3.44400     -6.66747      9.18974   3     11.86455
     -0.04129    -11.40520      3.39550   3     11.89999
     10.69560      0.07107      5.26039   2     11.91942
    -10.45640      0.27498     -5.71918   2     11.92145
     -2.40680     -8.80775     -7.66570   3     11.92192
      8.10660     -8.07888      3.36539   3     11.92942
     -7.80311     -5.53310      7.14419   1     11.93914
     -2.56909     -2.35917    -11.44710   3     11.96670
