 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5732272697E+01    0.7654760892E+01
    0.1584612949E-03    0.5732272593E+01    0.7654760786E+01
    0.1665857792E-03    0.5732272381E+01    0.7654760570E+01
    0.1751268148E-03    0.5732272052E+01    0.7654760235E+01
    0.1841057586E-03    0.5732271600E+01    0.7654759774E+01
    0.1935450626E-03    0.5732271015E+01    0.7654759179E+01
    0.2034683302E-03    0.5732270289E+01    0.7654758440E+01
    0.2139003746E-03    0.5732269410E+01    0.7654757544E+01
    0.2248672813E-03    0.5732268366E+01    0.7654756481E+01
    0.2363964733E-03    0.5732267143E+01    0.7654755236E+01
    0.2485167797E-03    0.5732265726E+01    0.7654753793E+01
    0.2612585075E-03    0.5732264097E+01    0.7654752135E+01
    0.2746535176E-03    0.5732262238E+01    0.7654750242E+01
    0.2887353046E-03    0.5732260128E+01    0.7654748093E+01
    0.3035390802E-03    0.5732257743E+01    0.7654745664E+01
    0.3191018616E-03    0.5732255056E+01    0.7654742928E+01
    0.3354625639E-03    0.5732252039E+01    0.7654739855E+01
    0.3526620974E-03    0.5732248659E+01    0.7654736414E+01
    0.3707434697E-03    0.5732244881E+01    0.7654732567E+01
    0.3897518939E-03    0.5732240666E+01    0.7654728274E+01
    0.4097349008E-03    0.5732235969E+01    0.7654723491E+01
    0.4307424584E-03    0.5732230742E+01    0.7654718168E+01
    0.4528270965E-03    0.5732224931E+01    0.7654712251E+01
    0.4760440382E-03    0.5732218478E+01    0.7654705680E+01
    0.5004513380E-03    0.5732211317E+01    0.7654698388E+01
    0.5261100268E-03    0.5732203376E+01    0.7654690301E+01
    0.5530842647E-03    0.5732194573E+01    0.7654681337E+01
    0.5814415013E-03    0.5732184822E+01    0.7654671407E+01
    0.6112526445E-03    0.5732174024E+01    0.7654660412E+01
    0.6425922378E-03    0.5732162071E+01    0.7654648240E+01
    0.6755386463E-03    0.5732148845E+01    0.7654634771E+01
    0.7101742534E-03    0.5732134212E+01    0.7654619871E+01
    0.7465856660E-03    0.5732118029E+01    0.7654603391E+01
    0.7848639316E-03    0.5732100134E+01    0.7654585168E+01
    0.8251047659E-03    0.5732080349E+01    0.7654565021E+01
    0.8674087919E-03    0.5732058479E+01    0.7654542750E+01
    0.9118817916E-03    0.5732034308E+01    0.7654518137E+01
    0.9586349708E-03    0.5732007597E+01    0.7654490937E+01
    0.1007785237E-02    0.5731978083E+01    0.7654460882E+01
    0.1059455491E-02    0.5731945474E+01    0.7654427676E+01
    0.1113774935E-02    0.5731909451E+01    0.7654390992E+01
    0.1170879397E-02    0.5731869657E+01    0.7654350470E+01
    0.1230911668E-02    0.5731825704E+01    0.7654305712E+01
    0.1294021859E-02    0.5731777160E+01    0.7654256278E+01
    0.1360367778E-02    0.5731723549E+01    0.7654201685E+01
    0.1430115326E-02    0.5731664347E+01    0.7654141399E+01
    0.1503438906E-02    0.5731598974E+01    0.7654074829E+01
    0.1580521867E-02    0.5731526793E+01    0.7654001326E+01
    0.1661556956E-02    0.5731447100E+01    0.7653920173E+01
    0.1746746803E-02    0.5731359119E+01    0.7653830581E+01
    0.1836304427E-02    0.5731261994E+01    0.7653731677E+01
    0.1930453768E-02    0.5731154782E+01    0.7653622501E+01
    0.2029430249E-02    0.5731036443E+01    0.7653501995E+01
    0.2133481363E-02    0.5730905832E+01    0.7653368991E+01
    0.2242867292E-02    0.5730761686E+01    0.7653222205E+01
    0.2357861557E-02    0.5730602614E+01    0.7653060219E+01
    0.2478751704E-02    0.5730427082E+01    0.7652881473E+01
    0.2605840021E-02    0.5730233405E+01    0.7652684248E+01
    0.2739444296E-02    0.5730019721E+01    0.7652466651E+01
    0.2879898609E-02    0.5729783985E+01    0.7652226597E+01
    0.3027554168E-02    0.5729523944E+01    0.7651961793E+01
    0.3182780189E-02    0.5729237117E+01    0.7651669713E+01
    0.3345964819E-02    0.5728920776E+01    0.7651347578E+01
    0.3517516104E-02    0.5728571917E+01    0.7650992330E+01
    0.3697863011E-02    0.5728187239E+01    0.7650600607E+01
    0.3887456502E-02    0.5727763110E+01    0.7650168710E+01
    0.4086770659E-02    0.5727295538E+01    0.7649692575E+01
    0.4296303871E-02    0.5726780133E+01    0.7649167731E+01
    0.4516580081E-02    0.5726212075E+01    0.7648589269E+01
    0.4748150094E-02    0.5725586066E+01    0.7647951796E+01
    0.4991592955E-02    0.5724896291E+01    0.7647249389E+01
    0.5247517398E-02    0.5724136363E+01    0.7646475545E+01
    0.5516563369E-02    0.5723299277E+01    0.7645623129E+01
    0.5799403621E-02    0.5722377344E+01    0.7644684313E+01
    0.6096745403E-02    0.5721362136E+01    0.7643650515E+01
    0.6409332224E-02    0.5720244412E+01    0.7642512324E+01
    0.6737945714E-02    0.5719014050E+01    0.7641259433E+01
    0.7083407578E-02    0.5717659960E+01    0.7639880549E+01
    0.7446581651E-02    0.5716170006E+01    0.7638363314E+01
    0.7828376056E-02    0.5714530907E+01    0.7636694203E+01
    0.8229745479E-02    0.5712728140E+01    0.7634858430E+01
    0.8651693553E-02    0.5710745831E+01    0.7632839829E+01
    0.9095275367E-02    0.5708566642E+01    0.7630620744E+01
    0.9561600107E-02    0.5706171644E+01    0.7628181902E+01
    0.1005183383E-01    0.5703540187E+01    0.7625502275E+01
    0.1056720237E-01    0.5700649757E+01    0.7622558937E+01
    0.1110899442E-01    0.5697475829E+01    0.7619326914E+01
    0.1167856474E-01    0.5693991702E+01    0.7615779019E+01
    0.1227733756E-01    0.5690168335E+01    0.7611885680E+01
    0.1290681012E-01    0.5685974164E+01    0.7607614757E+01
    0.1356855642E-01    0.5681374921E+01    0.7602931354E+01
    0.1426423119E-01    0.5676333424E+01    0.7597797616E+01
    0.1499557396E-01    0.5670809391E+01    0.7592172519E+01
    0.1576441348E-01    0.5664759204E+01    0.7586011655E+01
    0.1657267224E-01    0.5658135708E+01    0.7579267006E+01
    0.1742237132E-01    0.5650887965E+01    0.7571886710E+01
    0.1831563540E-01    0.5642961045E+01    0.7563814830E+01
    0.1925469810E-01    0.5634295763E+01    0.7554991111E+01
    0.2024190758E-01    0.5624828475E+01    0.7545350741E+01
    0.2127973238E-01    0.5614490807E+01    0.7534824115E+01
    0.2237076759E-01    0.5603209471E+01    0.7523336597E+01
    0.2351774137E-01    0.5590905991E+01    0.7510808300E+01
    0.2472352175E-01    0.5577496553E+01    0.7497153872E+01
    0.2599112382E-01    0.5562891751E+01    0.7482282299E+01
    0.2732371724E-01    0.5546996487E+01    0.7466096740E+01
    0.2872463418E-01    0.5529709760E+01    0.7448494377E+01
    0.3019737766E-01    0.5510924637E+01    0.7429366319E+01
    0.3174563032E-01    0.5490528116E+01    0.7408597533E+01
    0.3337326359E-01    0.5468401206E+01    0.7386066845E+01
    0.3508434741E-01    0.5444418887E+01    0.7361646988E+01
    0.3688316037E-01    0.5418450339E+01    0.7335204737E+01
    0.3877420044E-01    0.5390359043E+01    0.7306601114E+01
    0.4076219620E-01    0.5360003201E+01    0.7275691705E+01
    0.4285211869E-01    0.5327236029E+01    0.7242327065E+01
    0.4504919380E-01    0.5291906404E+01    0.7206353261E+01
    0.4735891536E-01    0.5253859409E+01    0.7167612535E+01
    0.4978705887E-01    0.5212937246E+01    0.7125944116E+01
    0.5233969597E-01    0.5168980094E+01    0.7081185186E+01
    0.5502320956E-01    0.5121827327E+01    0.7033172016E+01
    0.5784430984E-01    0.5071318736E+01    0.6981741274E+01
    0.6081005103E-01    0.5017296070E+01    0.6926731515E+01
    0.6392784901E-01    0.4959604687E+01    0.6867984862E+01
    0.6720549992E-01    0.4898095400E+01    0.6805348874E+01
    0.7065119958E-01    0.4832626607E+01    0.6738678599E+01
