natx =      601
    x       y        z       iph  
      2.20785      0.00000    -11.08320   3     11.30097
      6.36612     -7.86479     -5.06975   3     11.31745
      6.36612      7.86479     -5.06975   3     11.31745
     -4.20757     -6.29183     -8.41576   3     11.31882
     -4.20757      6.29183     -8.41576   3     11.31882
     -6.32690     -6.29183     -6.97232   3     11.32387
     -6.32690      6.29183     -6.97232   3     11.32387
    -10.84840     -3.14592     -0.88783   3     11.33017
    -10.84840      3.14592     -0.88783   3     11.33017
      6.42307     -6.29183      6.94125   3     11.35887
      6.42307      6.29183      6.94125   3     11.35887
      8.53475     -6.29183     -4.11085   3     11.37225
      8.53475      6.29183     -4.11085   3     11.37225
      1.23376      0.00000     11.30840   2     11.37550
      7.44337     -7.86479     -3.48582   2     11.37583
      7.44337      7.86479     -3.48582   2     11.37583
    -10.70190      0.00000      3.86675   3     11.37903
      1.10010     -4.71887    -10.34590   2     11.42434
      1.10010      4.71887    -10.34590   2     11.42434
     -5.43186      0.00000    -10.05260   2     11.42628
     11.16330      0.00000      2.46579   3     11.43238
      7.82841     -1.57296     -8.18404   2     11.43402
      7.82841      1.57296     -8.18404   2     11.43402
      4.59648     -7.86479     -6.96101   3     11.46465
      4.59648      7.86479     -6.96101   3     11.46465
      0.99704     -9.43774      6.43441   2     11.46589
      0.99704      9.43774      6.43441   2     11.46589
     -6.57637     -1.57296     -9.26318   3     11.46862
     -6.57637      1.57296     -9.26318   3     11.46862
      4.12382     -9.43774      5.08167   3     11.48478
      4.12382      9.43774      5.08167   3     11.48478
     -0.00765     -6.29183     -9.60866   3     11.48536
      0.00765     -6.29183      9.60866   3     11.48536
     -0.00765      6.29183     -9.60866   3     11.48536
      0.00765      6.29183      9.60866   3     11.48536
      7.64736      0.00000      8.57806   2     11.49196
      6.50285     -1.57296      9.36746   3     11.51132
      6.50285      1.57296      9.36746   3     11.51132
     -6.69016     -7.86479      5.12560   3     11.52757
     -6.69016      7.86479      5.12560   3     11.52757
      5.56958     -9.43774      3.64852   2     11.55002
      5.56958      9.43774      3.64852   2     11.55002
     10.79850     -3.14592     -2.64052   1     11.55321
     10.79850      3.14592     -2.64052   1     11.55321
      4.48862     -3.14592     10.18800   1     11.56892
      4.48862      3.14592     10.18800   1     11.56892
     -4.19228      0.00000     10.80160   3     11.58662
     -8.46744     -4.71887     -6.37432   3     11.60160
     -8.46744      4.71887     -6.37432   3     11.60160
      2.35437     -9.43774     -6.32860   3     11.60453
      2.35437      9.43774     -6.32860   3     11.60453
     -8.94775     -6.29183     -3.94031   3     11.62650
     -8.94775      6.29183     -3.94031   3     11.62650
     -1.90832     -9.43774     -6.55618   3     11.64887
     -1.90832      9.43774     -6.55618   3     11.64887
     -6.31925     -9.43774      2.63634   3     11.65994
     -6.31925      9.43774      2.63634   3     11.65994
    -11.08550     -1.57296     -3.27562   3     11.66586
    -11.08550      1.57296     -3.27562   3     11.66586
      9.70984     -3.14592     -5.70972   2     11.69524
      9.70984      3.14592     -5.70972   2     11.69524
      6.41542     -9.43774     -2.66741   3     11.71937
      6.41542      9.43774     -2.66741   3     11.71937
     -0.93946    -11.01070      3.92940   2     11.72852
     -0.93946     11.01070      3.92940   2     11.72852
     -6.64850     -9.43774     -2.08073   3     11.73043
     -6.64850      9.43774     -2.08073   3     11.73043
      2.20785     -3.14592    -11.08320   3     11.73068
      2.20785      3.14592    -11.08320   3     11.73068
      2.39761     -4.71887     10.47980   3     11.74063
      2.39761      4.71887     10.47980   3     11.74063
    -10.67400     -4.71887      1.45778   3     11.76126
    -10.67400      4.71887      1.45778   3     11.76126
     -5.61291     -7.86479      6.70953   2     11.76340
     -5.61291      7.86479      6.70953   2     11.76340
     -4.28735     -1.57296    -10.84200   3     11.76455
     -4.28735      1.57296    -10.84200   3     11.76455
     10.67530     -1.57296     -4.70885   3     11.77325
     10.67530      1.57296     -4.70885   3     11.77325
      6.74468     -9.43774      2.04965   3     11.77976
      6.74468      9.43774      2.04965   3     11.77976
      1.23376     -3.14592     11.30840   2     11.80249
      1.23376      3.14592     11.30840   2     11.80249
    -10.70190     -3.14592      3.86675   3     11.80590
    -10.70190      3.14592      3.86675   3     11.80590
      1.97839    -11.01070     -3.86231   3     11.83499
      1.97839     11.01070     -3.86231   3     11.83499
     -6.64085     -6.29183      7.52794   3     11.84727
     -6.64085      6.29183      7.52794   3     11.84727
      8.79187     -1.57296      7.78866   3     11.85050
      8.79187      1.57296      7.78866   3     11.85050
     -5.43186     -3.14592    -10.05260   2     11.85144
     -5.43186      3.14592    -10.05260   2     11.85144
     11.16330     -3.14592      2.46579   3     11.85733
     11.16330      3.14592      2.46579   3     11.85733
     10.68290     -1.57296      4.89981   3     11.85777
     10.68290      1.57296      4.89981   3     11.85777
     -4.27970    -11.01070     -1.23331   3     11.87739
     -4.27970     11.01070     -1.23331   3     11.87739
      4.47333     -6.29183     -9.02934   1     11.87968
      4.47333      6.29183     -9.02934   1     11.87968
     -2.27312      0.00000    -11.66250   1     11.88196
      6.48755     -1.57296     -9.84987   3     11.89884
      6.48755      1.57296     -9.84987   3     11.89884
      1.11540     -7.86479      8.87141   2     11.90802
      1.11540      7.86479      8.87141   2     11.90802
      7.64736     -3.14592      8.57806   2     11.91478
      7.64736      3.14592      8.57806   2     11.91478
      6.73703     -6.29183     -7.55901   3     11.92113
      6.73703      6.29183     -7.55901   3     11.92113
      8.78423     -7.86479     -1.82000   3     11.93021
      8.78423      7.86479     -1.82000   3     11.93021
      8.54240     -6.29183      5.49781   3     11.94929
      8.54240      6.29183      5.49781   3     11.94929
     -9.90131     -4.71887      4.79143   2     11.96919
     -9.90131      4.71887      4.79143   2     11.96919
     -9.90896     -4.71887     -4.81723   2     11.98586
     -9.90896      4.71887     -4.81723   2     11.98586
      2.38232     -7.86479     -8.73757   3     11.99481
      2.38232      7.86479     -8.73757   3     11.99481
     -8.45980     -7.86479      3.23434   3     11.99517
     -8.45980      7.86479      3.23434   3     11.99517
     -2.38863    -11.01070     -4.12217   3     11.99722
     -2.38863     11.01070     -4.12217   3     11.99722
      1.10775     -1.57296     -0.73726   2      2.06031
      1.10775      1.57296     -0.73726   2      2.06031
      1.22611      0.00000      1.69974   2      2.09582
      2.21550      0.00000     -1.47451   3      2.66132
     -0.17447     -1.57296     -2.34561   3      2.82958
     -0.17447      1.57296     -2.34561   3      2.82958
      0.23711     -1.57296      2.38780   3      2.86915
      0.23711      1.57296      2.38780   3      2.86915
      2.38997     -1.57296      0.87109   3      2.99081
      2.38997      1.57296      0.87109   3      2.99081
     -2.26547      0.00000     -2.05384   1      3.05788
      0.00000     -3.14592      0.00000   3      3.14592
      0.00000      3.14592      0.00000   3      3.14592
      0.98939      0.00000     -3.17425   2      3.32487
     -1.90067      0.00000      3.05248   3      3.59586
      1.22611     -3.14592      1.69974   2      3.78012
      1.22611      3.14592      1.69974   2      3.78012
      2.36202      0.00000      3.28007   3      4.04203
      2.21550     -3.14592     -1.47451   3      4.12061
      2.21550      3.14592     -1.47451   3      4.12061
     -0.93946     -1.57296      3.92940   2      4.33555
     -0.93946      1.57296      3.92940   2      4.33555
     -4.19992      0.00000      1.19290   3      4.36604
     -2.26547     -3.14592     -2.05384   1      4.38719
     -2.26547      3.14592     -2.05384   1      4.38719
      4.48097      0.00000      0.57932   1      4.51826
      0.98939     -3.14592     -3.17425   2      4.57729
      0.98939      3.14592     -3.17425   2      4.57729
      1.97839     -1.57296     -3.86231   3      4.61581
      1.97839      1.57296     -3.86231   3      4.61581
     -4.27970     -1.57296     -1.23331   3      4.72346
     -4.27970      1.57296     -1.23331   3      4.72346
     -0.14652      0.00000     -4.75458   3      4.75684
     -1.90067     -3.14592      3.05248   3      4.77776
     -1.90067      3.14592      3.05248   3      4.77776
     -0.13887      0.00000      4.85408   3      4.85607
      1.10775     -4.71887     -0.73726   2      4.90290
      1.10775      4.71887     -0.73726   2      4.90290
     -2.38863     -1.57296     -4.12217   3      5.01717
     -2.38863      1.57296     -4.12217   3      5.01717
      2.36202     -3.14592      3.28007   3      5.12199
      2.36202      3.14592      3.28007   3      5.12199
     -0.17447     -4.71887     -2.34561   3      5.27258
     -0.17447      4.71887     -2.34561   3      5.27258
      0.23711     -4.71887      2.38780   3      5.29392
      0.23711      4.71887      2.38780   3      5.29392
      2.38997     -4.71887      0.87109   3      5.36083
      2.38997      4.71887      0.87109   3      5.36083
     -4.19992     -3.14592      1.19290   3      5.38137
     -4.19992      3.14592      1.19290   3      5.38137
     -5.42421      0.00000     -0.44391   2      5.44234
      3.16261     -1.57296      4.20474   2      5.49146
      3.16261      1.57296      4.20474   2      5.49146
      4.48097     -3.14592      0.57932   1      5.50559
      4.48097      3.14592      0.57932   1      5.50559
      4.60413     -1.57296      2.64765   3      5.53916
      4.60413      1.57296      2.64765   3      5.53916
     -3.34643      0.00000      4.48563   2      5.59638
     -0.14652     -3.14592     -4.75458   3      5.70301
     -0.14652      3.14592     -4.75458   3      5.70301
     -4.15062     -1.57296      3.59524   3      5.71206
     -4.15062      1.57296      3.59524   3      5.71206
     -4.52918      0.00000     -3.52417   3      5.73875
     -0.13887     -3.14592      4.85408   3      5.78603
     -0.13887      3.14592      4.85408   3      5.78603
     -5.22787     -1.57296      2.01131   2      5.81809
     -5.22787      1.57296      2.01131   2      5.81809
