natx =      458
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.46065      1.22203     -0.23047   2      1.91833
     -1.20379     -1.48200     -0.22242   2      1.92221
      9.22051      3.92632     -0.23846   2     10.02450
     -4.88720      8.14992      3.23597   3     10.03880
      6.64395      6.61279      3.73374   2     10.09019
      9.24954     -1.49930      3.75798   2     10.09576
     -1.17422      9.31627      3.72552   2     10.10204
     -6.36773     -1.51593      7.73043   2     10.12944
     -6.38683     -6.90780      3.77396   2     10.13667
      4.00863      9.33411     -0.25469   2     10.16167
     -7.68988      5.28294     -4.05462   3     10.17269
      9.21076     -3.97921      1.68777   1     10.17452
      2.60315     -5.65403     -8.05203   3     10.17741
     -2.60891     -5.65421     -8.05209   3     10.17903
      7.75508      5.07897      4.23271   3     10.19083
      9.24933     -1.47623     -4.03402   2     10.19817
     -6.38704     -6.88473     -4.01804   2     10.21462
     -6.36804     -1.46994     -7.85354   2     10.21718
      6.64356      6.63558     -4.05832   2     10.22926
      6.61390      1.18694      7.73024   2     10.24251
      1.40202      6.59473      7.71401   2     10.24510
     -1.17443      9.33934     -4.06648   2     10.25372
     -7.88110      5.07843      4.23253   3     10.28671
     -7.69024     -5.53299     -4.02229   3     10.29236
     -5.08371      7.98714     -4.06175   3     10.30225
     -3.75177     -9.59408     -0.19820   2     10.30347
      5.53638     -8.07362      3.28460   3     10.32586
      6.61359      1.23293     -7.85372   2     10.34121
      3.99851     -9.38735      1.70387   1     10.34474
      7.94630      5.28348     -4.05443   3     10.36809
      5.53692      8.15028      3.23610   3     10.37096
     -3.72992      9.55014      1.64040   1     10.38308
      1.40171      6.64072     -7.86995   2     10.39231
    -10.42410     -0.00036     -0.00013   3     10.42410
     10.42410      0.00036      0.00013   3     10.42410
      1.43135     -9.61128      3.78218   2     10.42738
      5.34041      7.98749     -4.06162   3     10.43153
     -1.15585     -6.92372      7.74666   2     10.45393
     -5.08425     -8.23676     -4.01325   3     10.47855
      7.94594     -5.53245     -4.02210   3     10.48443
     -1.15616     -6.87773     -7.83731   2     10.49111
      1.43096     -9.58849     -4.00989   2     10.49123
    -10.16700      2.70434     -0.00073   3     10.52052
    -10.16720     -2.70363      0.01544   3     10.52054
      1.39243      3.73071     -9.76383   1     10.54464
      7.75472     -5.73696      4.26505   3     10.54699
     -3.81982     -1.67744     -9.74773   1     10.60297
      5.33987     -8.23640     -4.01312   3     10.60460
     -8.99259     -4.20367      3.76589   2     10.61694
      4.09178      1.02168     -9.74669   1     10.62000
     -7.88146     -5.73750      4.26486   3     10.64074
     -8.99298     -4.18088     -4.02618   2     10.70344
     -6.33186      6.38330      5.82098   1     10.71087
      9.24972      3.90867      3.74182   2     10.71617
