 # r       w_scrn(r)      v_ch(r)
    0.2472352175E-01    0.5594514145E+01    0.7497153872E+01
    0.2599112382E-01    0.5579899800E+01    0.7482282299E+01
    0.2732371724E-01    0.5563994166E+01    0.7466096740E+01
    0.2872463418E-01    0.5546696179E+01    0.7448494377E+01
    0.3019737766E-01    0.5527898845E+01    0.7429366319E+01
    0.3174563032E-01    0.5507489093E+01    0.7408597533E+01
    0.3337326359E-01    0.5485347863E+01    0.7386066845E+01
    0.3508434741E-01    0.5461350061E+01    0.7361646988E+01
    0.3688316037E-01    0.5435364797E+01    0.7335204737E+01
    0.3877420044E-01    0.5407255474E+01    0.7306601114E+01
    0.4076219620E-01    0.5376880221E+01    0.7275691705E+01
    0.4285211869E-01    0.5344092176E+01    0.7242327065E+01
    0.4504919380E-01    0.5308740144E+01    0.7206353261E+01
    0.4735891536E-01    0.5270669129E+01    0.7167612535E+01
    0.4978705887E-01    0.5229721271E+01    0.7125944116E+01
    0.5233969597E-01    0.5185736674E+01    0.7081185186E+01
    0.5502320956E-01    0.5138554664E+01    0.7033172016E+01
    0.5784430984E-01    0.5088014965E+01    0.6981741274E+01
    0.6081005103E-01    0.5033959301E+01    0.6926731515E+01
    0.6392784901E-01    0.4976232980E+01    0.6867984862E+01
    0.6720549992E-01    0.4914686821E+01    0.6805348874E+01
    0.7065119958E-01    0.4849179198E+01    0.6738678599E+01
    0.7427356405E-01    0.4779578239E+01    0.6667838802E+01
    0.7808165111E-01    0.4705764358E+01    0.6592706365E+01
    0.8208498297E-01    0.4627632623E+01    0.6513172828E+01
    0.8629357004E-01    0.4545095779E+01    0.6429147046E+01
    0.9071793599E-01    0.4458086606E+01    0.6340557938E+01
    0.9536914403E-01    0.4366561402E+01    0.6247357273E+01
    0.1002588246E+00    0.4270502073E+01    0.6149522455E+01
    0.1053992045E+00    0.4169920017E+01    0.6047059233E+01
    0.1108031372E+00    0.4064857599E+01    0.5940004291E+01
    0.1164841356E+00    0.3955392336E+01    0.5828427622E+01
    0.1224564049E+00    0.3841637302E+01    0.5712434629E+01
    0.1287348790E+00    0.3723745526E+01    0.5592167846E+01
    0.1353352574E+00    0.3601908833E+01    0.5467808215E+01
    0.1422740444E+00    0.3476362312E+01    0.5339575826E+01
    0.1495685907E+00    0.3347381016E+01    0.5207730034E+01
    0.1572371363E+00    0.3215284494E+01    0.5072568887E+01
    0.1652988567E+00    0.3080430814E+01    0.4934427804E+01
    0.1737739103E+00    0.2943221118E+01    0.4793677460E+01
    0.1826834892E+00    0.2804090457E+01    0.4650720839E+01
    0.1920498720E+00    0.2663512604E+01    0.4505989473E+01
    0.2018964795E+00    0.2521987381E+01    0.4359938889E+01
    0.2122479333E+00    0.2380045961E+01    0.4213043302E+01
    0.2231301176E+00    0.2238234445E+01    0.4065789680E+01
    0.2345702434E+00    0.2097120339E+01    0.3918671263E+01
    0.2465969169E+00    0.1957272461E+01    0.3772180712E+01
    0.2592402112E+00    0.1819269137E+01    0.3626803060E+01
    0.2725317411E+00    0.1683674587E+01    0.3483008652E+01
    0.2865047422E+00    0.1551049924E+01    0.3341246303E+01
    0.3011941545E+00    0.1421926480E+01    0.3201936884E+01
    0.3166367090E+00    0.1296820173E+01    0.3065467533E+01
    0.3328710202E+00    0.1176202178E+01    0.2932186713E+01
    0.3499376824E+00    0.1060517699E+01    0.2802400252E+01
    0.3678793710E+00    0.9501546228E+00    0.2676368513E+01
    0.3867409497E+00    0.8454666218E+00    0.2554304767E+01
    0.4065695822E+00    0.7467402424E+00    0.2436374788E+01
    0.4274148504E+00    0.6542227296E+00    0.2322697654E+01
    0.4493288784E+00    0.5680882821E+00    0.2213347663E+01
    0.4723664626E+00    0.4884693199E+00    0.2108357228E+01
    0.4965852091E+00    0.4154225956E+00    0.2007720585E+01
    0.5220456772E+00    0.3489634734E+00    0.1911398099E+01
    0.5488115314E+00    0.2890330039E+00    0.1819320967E+01
    0.5769497003E+00    0.2355329989E+00    0.1731396072E+01
    0.6065305440E+00    0.1882953468E+00    0.1647510806E+01
