 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5762515479E+01    0.7654760892E+01
    0.1584612949E-03    0.5762515376E+01    0.7654760786E+01
    0.1665857792E-03    0.5762515163E+01    0.7654760570E+01
    0.1751268148E-03    0.5762514834E+01    0.7654760235E+01
    0.1841057586E-03    0.5762514382E+01    0.7654759774E+01
    0.1935450626E-03    0.5762513797E+01    0.7654759179E+01
    0.2034683302E-03    0.5762513071E+01    0.7654758440E+01
    0.2139003746E-03    0.5762512192E+01    0.7654757544E+01
    0.2248672813E-03    0.5762511148E+01    0.7654756481E+01
    0.2363964733E-03    0.5762509925E+01    0.7654755236E+01
    0.2485167797E-03    0.5762508507E+01    0.7654753793E+01
    0.2612585075E-03    0.5762506879E+01    0.7654752135E+01
    0.2746535176E-03    0.5762505020E+01    0.7654750242E+01
    0.2887353046E-03    0.5762502910E+01    0.7654748093E+01
    0.3035390802E-03    0.5762500524E+01    0.7654745664E+01
    0.3191018616E-03    0.5762497837E+01    0.7654742928E+01
    0.3354625639E-03    0.5762494820E+01    0.7654739855E+01
    0.3526620974E-03    0.5762491440E+01    0.7654736414E+01
    0.3707434697E-03    0.5762487662E+01    0.7654732567E+01
    0.3897518939E-03    0.5762483446E+01    0.7654728274E+01
    0.4097349008E-03    0.5762478749E+01    0.7654723491E+01
    0.4307424584E-03    0.5762473522E+01    0.7654718168E+01
    0.4528270965E-03    0.5762467711E+01    0.7654712251E+01
    0.4760440382E-03    0.5762461258E+01    0.7654705680E+01
    0.5004513380E-03    0.5762454097E+01    0.7654698388E+01
    0.5261100268E-03    0.5762446155E+01    0.7654690301E+01
    0.5530842647E-03    0.5762437352E+01    0.7654681337E+01
    0.5814415013E-03    0.5762427600E+01    0.7654671407E+01
    0.6112526445E-03    0.5762416802E+01    0.7654660412E+01
    0.6425922378E-03    0.5762404849E+01    0.7654648240E+01
    0.6755386463E-03    0.5762391621E+01    0.7654634771E+01
    0.7101742534E-03    0.5762376988E+01    0.7654619871E+01
    0.7465856660E-03    0.5762360804E+01    0.7654603391E+01
    0.7848639316E-03    0.5762342908E+01    0.7654585168E+01
    0.8251047659E-03    0.5762323122E+01    0.7654565021E+01
    0.8674087919E-03    0.5762301252E+01    0.7654542750E+01
    0.9118817916E-03    0.5762277080E+01    0.7654518137E+01
    0.9586349708E-03    0.5762250368E+01    0.7654490937E+01
    0.1007785237E-02    0.5762220852E+01    0.7654460882E+01
    0.1059455491E-02    0.5762188242E+01    0.7654427676E+01
    0.1113774935E-02    0.5762152216E+01    0.7654390992E+01
    0.1170879397E-02    0.5762112421E+01    0.7654350470E+01
    0.1230911668E-02    0.5762068466E+01    0.7654305712E+01
    0.1294021859E-02    0.5762019920E+01    0.7654256278E+01
    0.1360367778E-02    0.5761966306E+01    0.7654201685E+01
    0.1430115326E-02    0.5761907101E+01    0.7654141399E+01
    0.1503438906E-02    0.5761841726E+01    0.7654074829E+01
    0.1580521867E-02    0.5761769542E+01    0.7654001326E+01
    0.1661556956E-02    0.5761689845E+01    0.7653920173E+01
    0.1746746803E-02    0.5761601860E+01    0.7653830581E+01
