natx =      464
    x       y        z       iph  
    -10.32500      2.80780     -3.64918   3     11.30513
     -9.12057      6.75964     -0.02105   2     11.35244
      9.12120     -6.75960      0.01961   2     11.35292
    -10.29510     -2.57903      4.05290   3     11.36074
      2.80138     -8.27423     -7.27158   3     11.36602
     -5.40351      5.61318     -8.30011   3     11.38409
      9.08281     -3.85462      5.72523   1     11.40762
    -10.29500      2.82893      4.03673   3     11.41425
     10.52310     -2.59945     -3.63276   3     11.43196
      0.19607     -7.90321     -8.26197   3     11.43500
     -0.12831    -10.69130      4.06979   3     11.44043
     -3.85835      4.31276     -9.88994   1     11.45852
     -9.15964      3.85494     -5.72649   1     11.46962
     10.52320      2.80851     -3.64893   3     11.48652
     -6.51444      9.46375     -0.02908   2     11.48918
      6.51507     -9.46372      0.02763   2     11.48951
      3.96396     -4.30768      9.89090   1     11.49343
     -0.11164     10.92120     -3.65199   3     11.51617
     -8.00923     -0.20494      8.28615   3     11.52606
     -7.62208      2.49536      8.27993   3     11.52737
     -9.07010      4.26659      5.69397   1     11.52787
     -0.12825      0.17058    -11.54650   3     11.54847
      2.49507     10.70630      3.58315   3     11.56240
      3.87057     -9.26276      5.74133   1     11.56473
     -3.94740      9.26309     -5.74260   1     11.59156
     10.55310     -2.57832      4.05315   3     11.59499
      9.17572     -4.26151     -5.69300   1     11.60881
     -2.71699     10.70610      3.58309   3     11.61211
     -7.62226     -2.91261      8.29609   3     11.63646
     10.55330      2.82965      4.03699   3     11.64802
     -0.12759     10.94050      4.00513   3     11.65126
     -7.70730      8.00320      3.60226   3     11.68032
     -2.40984      7.90350      8.26383   3     11.68604
      2.47574     10.69450     -4.06306   3     11.70513
    -10.42390      5.40761     -0.01629   3     11.74309
     10.42390     -5.40761      0.01629   3     11.74309
    -10.42430     -5.40832      0.01604   3     11.74377
     10.42430      5.40832     -0.01604   3     11.74377
      0.19661      8.32068     -8.31047   3     11.76164
     -2.73632     10.69430     -4.06313   3     11.76285
      2.80222      7.90368      8.26389   3     11.77338
      2.49435    -10.92560      3.64782   3     11.78546
      8.01411      2.49589      8.28012   3     11.79050
      7.62683      5.24955     -7.31379   3     11.79906
    -11.72690     -1.35236      0.00319   2     11.80462
     11.72750      1.35239     -0.00463   2     11.80522
      0.12869     -2.53269    -11.53090   3     11.80647
     -7.69422      7.98696     -4.06770   3     11.81265
      2.47569     -0.16746     11.55320   3     11.81666
      7.92888      8.00374      3.60245   3     11.82813
     -2.71772    -10.92570      3.64775   3     11.83482
     -7.70784     -8.22069      3.65076   3     11.84561
     -6.45998      1.09993      9.87461   1     11.85112
     -3.85786      9.67473      5.67786   1     11.86261
     -2.73637     -0.16764     11.55320   3     11.87402
     -1.24774      6.50807      9.85850   1     11.87863
      1.35335     -6.50299     -9.85754   1     11.88661
      3.96347     -9.66966     -5.67690   1     11.89280
      8.01392     -2.91207      8.29628   3     11.89669
      0.12887      2.87528    -11.54710   3     11.90039
      2.47502    -10.93740     -3.99840   3     11.90545
      6.56559     -1.09485     -9.87364   1     11.90775
      1.27389      1.31136     11.76760   2     11.90877
     -5.01569     -7.94938      7.32193   3     11.91472
      6.47666     -1.59848      9.87383   1     11.91616
     -1.33204     -1.31142    -11.76890   2     11.91642
     -1.28362     -1.39116     11.76800   2     11.91926
      7.62647     -5.56638     -7.28146   3     11.92339
      1.33240      1.39261    -11.77700   2     11.93367
     -9.09124      6.75423      3.79069   2     11.94318
     -6.55350      1.59880     -9.87509   1     11.95918
     -2.73704    -10.93760     -3.99846   3     11.96287
      9.09220     -6.76502      3.83133   2     11.96297
     -0.11170      0.05928     11.96430   3     11.96497
     -7.69476     -8.23694     -4.01920   3     11.96706
      7.94197      7.98750     -4.06751   3     11.97580
      9.14002     -6.75278     -3.79972   2     11.98240
      7.92834     -8.22016      3.65095   3     11.98996
     -2.60594     -0.00026     -0.00093   3      2.60594
      2.60612     -0.00008     -0.00087   3      2.60612
      0.00023      2.70394     -0.00806   3      2.70395
      0.00005     -2.70402      0.00811   3      2.70403
