#HD#     0.1572895579E+01     0.2389250098E+02 
    0.1000000000E+00     0.4342619595E-02    -0.2973148876E-04     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2076083999E+05 
    0.2000000000E+00     0.8696490945E-02    -0.1185377892E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7364101274E+04 
    0.3000000000E+00     0.1304290265E-01    -0.2658727393E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.4021132602E+04 
    0.4000000000E+00     0.1738085655E-01    -0.4711985365E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2619917649E+04 
    0.4937739303E+00     0.2144016556E-01    -0.7159562133E-03     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1915751586E+04 
    0.6095974449E+00     0.2644130734E-01    -0.1087370177E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1401540748E+04 
    0.7376129083E+00     0.3195092930E-01    -0.1585833210E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1057105478E+04 
    0.8778203206E+00     0.3796137216E-01    -0.2236511802E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.8176984952E+03 
    0.1030219682E+01     0.4446321426E-01    -0.3066416766E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6460934200E+03 
    0.1194810992E+01     0.5144501879E-01    -0.4104269011E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5198467867E+03 
    0.1371594251E+01     0.5889307007E-01    -0.5380359707E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.4248768749E+03 
    0.1560569459E+01     0.6679110063E-01    -0.6926405846E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3520425793E+03 
    0.1761736616E+01     0.7512001089E-01    -0.8775402038E-02     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2952330992E+03 
    0.1975095721E+01     0.8385758311E-01    -0.1096146932E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2502573717E+03 
    0.2200646776E+01     0.9297819086E-01    -0.1351970159E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.2141754271E+03 
    0.2438389779E+01     0.1024525054E+00    -0.1648601017E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1848832551E+03 
    0.2688324732E+01     0.1122471998E+00    -0.1989696673E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1608479639E+03 
    0.2950451633E+01     0.1223246518E+00    -0.2378964484E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1409346785E+03 
    0.3224770483E+01     0.1326426455E+00    -0.2820146005E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1242909162E+03 
    0.3511281282E+01     0.1431540727E+00    -0.3317000830E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.1102678250E+03 
    0.3809984030E+01     0.1538066338E+00    -0.3873290230E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.9836557047E+02 
    0.4120878727E+01     0.1645425369E+00    -0.4492760536E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.8819484946E+02 
    0.4443965373E+01     0.1752981970E+00    -0.5179126191E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7944936272E+02 
    0.4779243968E+01     0.1860039327E+00    -0.5936052376E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.7188585686E+02 
    0.5126714511E+01     0.1965836593E+00    -0.6767137123E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.6530947127E+02 
    0.5486377004E+01     0.2069545797E+00    -0.7675892768E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5956285444E+02 
    0.5858231445E+01     0.2170268682E+00    -0.8665726629E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5451799255E+02 
    0.6242277835E+01     0.2267033491E+00    -0.9739920741E-01     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.5007001277E+02 
    0.6638516175E+01     0.2358791666E+00    -0.1090161049E+00     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.4613244000E+02 
    0.7046946463E+01     0.2444414436E+00    -0.1215376199E+00     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.4263353425E+02 
    0.7467568700E+01     0.2522689302E+00    -0.1349914793E+00     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3951343943E+02 
    0.7900382885E+01     0.2592316364E+00    -0.1494032184E+00     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3672194656E+02 
    0.8345389020E+01     0.2651904494E+00    -0.1647959041E+00     0.1000000000E+01     0.0000000000E+00     0.1000000000E+01     0.0000000000E+00     0.3421672642E+02 
