 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5778014425E+01    0.7654760892E+01
    0.1584612949E-03    0.5778014322E+01    0.7654760786E+01
    0.1665857792E-03    0.5778014109E+01    0.7654760570E+01
    0.1751268148E-03    0.5778013781E+01    0.7654760235E+01
    0.1841057586E-03    0.5778013328E+01    0.7654759774E+01
    0.1935450626E-03    0.5778012744E+01    0.7654759179E+01
    0.2034683302E-03    0.5778012018E+01    0.7654758440E+01
    0.2139003746E-03    0.5778011139E+01    0.7654757544E+01
    0.2248672813E-03    0.5778010095E+01    0.7654756481E+01
    0.2363964733E-03    0.5778008873E+01    0.7654755236E+01
    0.2485167797E-03    0.5778007456E+01    0.7654753793E+01
    0.2612585075E-03    0.5778005828E+01    0.7654752135E+01
    0.2746535176E-03    0.5778003969E+01    0.7654750242E+01
    0.2887353046E-03    0.5778001859E+01    0.7654748093E+01
    0.3035390802E-03    0.5777999475E+01    0.7654745664E+01
    0.3191018616E-03    0.5777996788E+01    0.7654742928E+01
    0.3354625639E-03    0.5777993772E+01    0.7654739855E+01
    0.3526620974E-03    0.5777990393E+01    0.7654736414E+01
    0.3707434697E-03    0.5777986616E+01    0.7654732567E+01
    0.3897518939E-03    0.5777982401E+01    0.7654728274E+01
    0.4097349008E-03    0.5777977705E+01    0.7654723491E+01
    0.4307424584E-03    0.5777972480E+01    0.7654718168E+01
    0.4528270965E-03    0.5777966670E+01    0.7654712251E+01
    0.4760440382E-03    0.5777960219E+01    0.7654705680E+01
    0.5004513380E-03    0.5777953059E+01    0.7654698388E+01
    0.5261100268E-03    0.5777945120E+01    0.7654690301E+01
    0.5530842647E-03    0.5777936319E+01    0.7654681337E+01
    0.5814415013E-03    0.5777926570E+01    0.7654671407E+01
    0.6112526445E-03    0.5777915775E+01    0.7654660412E+01
    0.6425922378E-03    0.5777903825E+01    0.7654648240E+01
    0.6755386463E-03    0.5777890601E+01    0.7654634771E+01
    0.7101742534E-03    0.5777875972E+01    0.7654619871E+01
    0.7465856660E-03    0.5777859792E+01    0.7654603391E+01
    0.7848639316E-03    0.5777841901E+01    0.7654585168E+01
    0.8251047659E-03    0.5777822120E+01    0.7654565021E+01
    0.8674087919E-03    0.5777800256E+01    0.7654542750E+01
    0.9118817916E-03    0.5777776090E+01    0.7654518137E+01
    0.9586349708E-03    0.5777749385E+01    0.7654490937E+01
    0.1007785237E-02    0.5777719877E+01    0.7654460882E+01
    0.1059455491E-02    0.5777687276E+01    0.7654427676E+01
    0.1113774935E-02    0.5777651260E+01    0.7654390992E+01
    0.1170879397E-02    0.5777611476E+01    0.7654350470E+01
    0.1230911668E-02    0.5777567532E+01    0.7654305712E+01
    0.1294021859E-02    0.5777518999E+01    0.7654256278E+01
    0.1360367778E-02    0.5777465400E+01    0.7654201685E+01
    0.1430115326E-02    0.5777406210E+01    0.7654141399E+01
    0.1503438906E-02    0.5777340852E+01    0.7654074829E+01
    0.1580521867E-02    0.5777268688E+01    0.7654001326E+01
    0.1661556956E-02    0.5777189012E+01    0.7653920173E+01
    0.1746746803E-02    0.5777101051E+01    0.7653830581E+01
    0.1836304427E-02    0.5777003947E+01    0.7653731677E+01
    0.1930453768E-02    0.5776896759E+01    0.7653622501E+01
