 # r       w_scrn(r)      v_ch(r)
    0.2472352175E-01    0.5611577791E+01    0.7497153872E+01
    0.2599112382E-01    0.5596995452E+01    0.7482282299E+01
    0.2732371724E-01    0.5581124609E+01    0.7466096740E+01
    0.2872463418E-01    0.5563864449E+01    0.7448494377E+01
    0.3019737766E-01    0.5545108165E+01    0.7429366319E+01
    0.3174563032E-01    0.5524742964E+01    0.7408597533E+01
    0.3337326359E-01    0.5502649992E+01    0.7386066845E+01
    0.3508434741E-01    0.5478704459E+01    0.7361646988E+01
    0.3688316037E-01    0.5452775696E+01    0.7335204737E+01
    0.3877420044E-01    0.5424727434E+01    0.7306601114E+01
    0.4076219620E-01    0.5394418038E+01    0.7275691705E+01
    0.4285211869E-01    0.5361700987E+01    0.7242327065E+01
    0.4504919380E-01    0.5326425334E+01    0.7206353261E+01
    0.4735891536E-01    0.5288436429E+01    0.7167612535E+01
    0.4978705887E-01    0.5247576668E+01    0.7125944116E+01
    0.5233969597E-01    0.5203686486E+01    0.7081185186E+01
    0.5502320956E-01    0.5156605468E+01    0.7033172016E+01
    0.5784430984E-01    0.5106173631E+01    0.6981741274E+01
    0.6081005103E-01    0.5052232963E+01    0.6926731515E+01
    0.6392784901E-01    0.4994628988E+01    0.6867984862E+01
    0.6720549992E-01    0.4933212793E+01    0.6805348874E+01
    0.7065119958E-01    0.4867842849E+01    0.6738678599E+01
    0.7427356405E-01    0.4798387558E+01    0.6667838802E+01
    0.7808165111E-01    0.4724727257E+01    0.6592706365E+01
    0.8208498297E-01    0.4646757312E+01    0.6513172828E+01
    0.8629357004E-01    0.4564390137E+01    0.6429147046E+01
    0.9071793599E-01    0.4477558855E+01    0.6340557938E+01
    0.9536914403E-01    0.4386219106E+01    0.6247357273E+01
    0.1002588246E+00    0.4290353229E+01    0.6149522455E+01
    0.1053992045E+00    0.4189971537E+01    0.6047059233E+01
    0.1108031372E+00    0.4085116963E+01    0.5940004291E+01
    0.1164841356E+00    0.3975865425E+01    0.5828427622E+01
    0.1224564049E+00    0.3862330808E+01    0.5712434629E+01
    0.1287348790E+00    0.3744663911E+01    0.5592167846E+01
    0.1353352574E+00    0.3623057705E+01    0.5467808215E+01
    0.1422740444E+00    0.3497744348E+01    0.5339575826E+01
    0.1495685907E+00    0.3369000567E+01    0.5207730034E+01
    0.1572371363E+00    0.3237142170E+01    0.5072568887E+01
    0.1652988567E+00    0.3102529574E+01    0.4934427804E+01
    0.1737739103E+00    0.2965559361E+01    0.4793677460E+01
    0.1826834892E+00    0.2826669894E+01    0.4650720839E+01
    0.1920498720E+00    0.2686329496E+01    0.4505989473E+01
    0.2018964795E+00    0.2545042454E+01    0.4359938889E+01
    0.2122479333E+00    0.2403333659E+01    0.4213043302E+01
    0.2231301176E+00    0.2261755214E+01    0.4065789680E+01
    0.2345702434E+00    0.2120867451E+01    0.3918671263E+01
    0.2465969169E+00    0.1981246878E+01    0.3772180712E+01
