 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5692928694E+01    0.7654760892E+01
    0.1584612949E-03    0.5692928590E+01    0.7654760786E+01
    0.1665857792E-03    0.5692928377E+01    0.7654760570E+01
    0.1751268148E-03    0.5692928048E+01    0.7654760235E+01
    0.1841057586E-03    0.5692927594E+01    0.7654759774E+01
    0.1935450626E-03    0.5692927009E+01    0.7654759179E+01
    0.2034683302E-03    0.5692926281E+01    0.7654758440E+01
    0.2139003746E-03    0.5692925400E+01    0.7654757544E+01
    0.2248672813E-03    0.5692924354E+01    0.7654756481E+01
    0.2363964733E-03    0.5692923128E+01    0.7654755236E+01
    0.2485167797E-03    0.5692921708E+01    0.7654753793E+01
    0.2612585075E-03    0.5692920077E+01    0.7654752135E+01
    0.2746535176E-03    0.5692918214E+01    0.7654750242E+01
    0.2887353046E-03    0.5692916099E+01    0.7654748093E+01
    0.3035390802E-03    0.5692913709E+01    0.7654745664E+01
    0.3191018616E-03    0.5692911017E+01    0.7654742928E+01
    0.3354625639E-03    0.5692907993E+01    0.7654739855E+01
    0.3526620974E-03    0.5692904607E+01    0.7654736414E+01
    0.3707434697E-03    0.5692900821E+01    0.7654732567E+01
    0.3897518939E-03    0.5692896597E+01    0.7654728274E+01
    0.4097349008E-03    0.5692891890E+01    0.7654723491E+01
    0.4307424584E-03    0.5692886652E+01    0.7654718168E+01
    0.4528270965E-03    0.5692880830E+01    0.7654712251E+01
    0.4760440382E-03    0.5692874364E+01    0.7654705680E+01
    0.5004513380E-03    0.5692867188E+01    0.7654698388E+01
    0.5261100268E-03    0.5692859230E+01    0.7654690301E+01
    0.5530842647E-03    0.5692850410E+01    0.7654681337E+01
    0.5814415013E-03    0.5692840638E+01    0.7654671407E+01
    0.6112526445E-03    0.5692829818E+01    0.7654660412E+01
    0.6425922378E-03    0.5692817841E+01    0.7654648240E+01
    0.6755386463E-03    0.5692804587E+01    0.7654634771E+01
    0.7101742534E-03    0.5692789924E+01    0.7654619871E+01
    0.7465856660E-03    0.5692773708E+01    0.7654603391E+01
    0.7848639316E-03    0.5692755775E+01    0.7654585168E+01
    0.8251047659E-03    0.5692735950E+01    0.7654565021E+01
    0.8674087919E-03    0.5692714036E+01    0.7654542750E+01
    0.9118817916E-03    0.5692689815E+01    0.7654518137E+01
    0.9586349708E-03    0.5692663049E+01    0.7654490937E+01
    0.1007785237E-02    0.5692633474E+01    0.7654460882E+01
    0.1059455491E-02    0.5692600798E+01    0.7654427676E+01
    0.1113774935E-02    0.5692564700E+01    0.7654390992E+01
    0.1170879397E-02    0.5692524825E+01    0.7654350470E+01
    0.1230911668E-02    0.5692480781E+01    0.7654305712E+01
    0.1294021859E-02    0.5692432137E+01    0.7654256278E+01
    0.1360367778E-02    0.5692378416E+01    0.7654201685E+01
    0.1430115326E-02    0.5692319091E+01    0.7654141399E+01
    0.1503438906E-02    0.5692253584E+01    0.7654074829E+01
    0.1580521867E-02    0.5692181255E+01    0.7654001326E+01
    0.1661556956E-02    0.5692101398E+01    0.7653920173E+01
    0.1746746803E-02    0.5692013236E+01    0.7653830581E+01
    0.1836304427E-02    0.5691915911E+01    0.7653731677E+01
    0.1930453768E-02    0.5691808478E+01    0.7653622501E+01
    0.2029430249E-02    0.5691689896E+01    0.7653501995E+01
    0.2133481363E-02    0.5691559016E+01    0.7653368991E+01
    0.2242867292E-02    0.5691414573E+01    0.7653222205E+01
    0.2357861557E-02    0.5691255173E+01    0.7653060219E+01
    0.2478751704E-02    0.5691079281E+01    0.7652881473E+01
    0.2605840021E-02    0.5690885204E+01    0.7652684248E+01
    0.2739444296E-02    0.5690671081E+01    0.7652466651E+01
    0.2879898609E-02    0.5690434860E+01    0.7652226597E+01
    0.3027554168E-02    0.5690174283E+01    0.7651961793E+01
    0.3182780189E-02    0.5689886866E+01    0.7651669713E+01
    0.3345964819E-02    0.5689569873E+01    0.7651347578E+01
    0.3517516104E-02    0.5689220297E+01    0.7650992330E+01
    0.3697863011E-02    0.5688834827E+01    0.7650600607E+01
    0.3887456502E-02    0.5688409825E+01    0.7650168710E+01
    0.4086770659E-02    0.5687941291E+01    0.7649692575E+01
    0.4296303871E-02    0.5687424825E+01    0.7649167731E+01
    0.4516580081E-02    0.5686855598E+01    0.7648589269E+01
    0.4748150094E-02    0.5686228301E+01    0.7647951796E+01
    0.4991592955E-02    0.5685537107E+01    0.7647249389E+01
    0.5247517398E-02    0.5684775615E+01    0.7646475545E+01
    0.5516563369E-02    0.5683936806E+01    0.7645623129E+01
    0.5799403621E-02    0.5683012976E+01    0.7644684313E+01
    0.6096745403E-02    0.5681995680E+01    0.7643650515E+01
    0.6409332224E-02    0.5680875656E+01    0.7642512324E+01
    0.6737945714E-02    0.5679642763E+01    0.7641259433E+01
    0.7083407578E-02    0.5678285887E+01    0.7639880549E+01
    0.7446581651E-02    0.5676792869E+01    0.7638363314E+01
    0.7828376056E-02    0.5675150397E+01    0.7636694203E+01
    0.8229745479E-02    0.5673343923E+01    0.7634858430E+01
    0.8651693553E-02    0.5671357536E+01    0.7632839829E+01
    0.9095275367E-02    0.5669173866E+01    0.7630620744E+01
    0.9561600107E-02    0.5666773942E+01    0.7628181902E+01
    0.1005183383E-01    0.5664137076E+01    0.7625502275E+01
    0.1056720237E-01    0.5661240703E+01    0.7622558937E+01
    0.1110899442E-01    0.5658060251E+01    0.7619326914E+01
    0.1167856474E-01    0.5654568962E+01    0.7615779019E+01
    0.1227733756E-01    0.5650737739E+01    0.7611885680E+01
    0.1290681012E-01    0.5646534949E+01    0.7607614757E+01
    0.1356855642E-01    0.5641926259E+01    0.7602931354E+01
    0.1426423119E-01    0.5636874406E+01    0.7597797616E+01
    0.1499557396E-01    0.5631339032E+01    0.7592172519E+01
    0.1576441348E-01    0.5625276422E+01    0.7586011655E+01
    0.1657267224E-01    0.5618639334E+01    0.7579267006E+01
    0.1742237132E-01    0.5611376718E+01    0.7571886710E+01
    0.1831563540E-01    0.5603433543E+01    0.7563814830E+01
    0.1925469810E-01    0.5594750491E+01    0.7554991111E+01
    0.2024190758E-01    0.5585263804E+01    0.7545350741E+01
    0.2127973238E-01    0.5574904955E+01    0.7534824115E+01
    0.2237076759E-01    0.5563600525E+01    0.7523336597E+01
    0.2351774137E-01    0.5551271862E+01    0.7510808300E+01
    0.2472352175E-01    0.5537835006E+01    0.7497153872E+01
    0.2599112382E-01    0.5523200349E+01    0.7482282299E+01
    0.2732371724E-01    0.5507272632E+01    0.7466096740E+01
    0.2872463418E-01    0.5489950622E+01    0.7448494377E+01
    0.3019737766E-01    0.5471127214E+01    0.7429366319E+01
    0.3174563032E-01    0.5450689145E+01    0.7408597533E+01
    0.3337326359E-01    0.5428517236E+01    0.7386066845E+01
    0.3508434741E-01    0.5404486181E+01    0.7361646988E+01
    0.3688316037E-01    0.5378464963E+01    0.7335204737E+01
    0.3877420044E-01    0.5350316748E+01    0.7306601114E+01
    0.4076219620E-01    0.5319899540E+01    0.7275691705E+01
    0.4285211869E-01    0.5287066218E+01    0.7242327065E+01
    0.4504919380E-01    0.5251665461E+01    0.7206353261E+01
    0.4735891536E-01    0.5213542002E+01    0.7167612535E+01
    0.4978705887E-01    0.5172537860E+01    0.7125944116E+01
    0.5233969597E-01    0.5128492861E+01    0.7081185186E+01
    0.5502320956E-01    0.5081246217E+01    0.7033172016E+01
    0.5784430984E-01    0.5030637386E+01    0.6981741274E+01
    0.6081005103E-01    0.4976507992E+01    0.6926731515E+01
    0.6392784901E-01    0.4918703103E+01    0.6867984862E+01
    0.6720549992E-01    0.4857073460E+01    0.6805348874E+01
    0.7065119958E-01    0.4791477247E+01    0.6738678599E+01
    0.7427356405E-01    0.4721782542E+01    0.6667838802E+01
    0.7808165111E-01    0.4647869659E+01    0.6592706365E+01
    0.8208498297E-01    0.4569633646E+01    0.6513172828E+01
    0.8629357004E-01    0.4486987280E+01    0.6429147046E+01
    0.9071793599E-01    0.4399863352E+01    0.6340557938E+01
    0.9536914403E-01    0.4308218384E+01    0.6247357273E+01
    0.1002588246E+00    0.4212034320E+01    0.6149522455E+01
    0.1053992045E+00    0.4111323058E+01    0.6047059233E+01
    0.1108031372E+00    0.4006127000E+01    0.5940004291E+01
    0.1164841356E+00    0.3896524513E+01    0.5828427622E+01
    0.1224564049E+00    0.3782628715E+01    0.5712434629E+01
    0.1287348790E+00    0.3664593959E+01    0.5592167846E+01
    0.1353352574E+00    0.3542612037E+01    0.5467808215E+01
    0.1422740444E+00    0.3416919926E+01    0.5339575826E+01
    0.1495685907E+00    0.3287792593E+01    0.5207730034E+01
    0.1572371363E+00    0.3155552199E+01    0.5072568887E+01
    0.1652988567E+00    0.3020556503E+01    0.4934427804E+01
    0.1737739103E+00    0.2883210072E+01    0.4793677460E+01
    0.1826834892E+00    0.2743947467E+01    0.4650720839E+01
    0.1920498720E+00    0.2603246894E+01    0.4505989473E+01
    0.2018964795E+00    0.2461607194E+01    0.4359938889E+01
    0.2122479333E+00    0.2319565028E+01    0.4213043302E+01
    0.2231301176E+00    0.2177665115E+01    0.4065789680E+01
    0.2345702434E+00    0.2036481696E+01    0.3918671263E+01
    0.2465969169E+00    0.1896581292E+01    0.3772180712E+01
    0.2592402112E+00    0.1758550164E+01    0.3626803060E+01
    0.2725317411E+00    0.1622949504E+01    0.3483008652E+01
    0.2865047422E+00    0.1490349695E+01    0.3341246303E+01
    0.3011941545E+00    0.1361277529E+01    0.3201936884E+01
    0.3166367090E+00    0.1236259327E+01    0.3065467533E+01
    0.3328710202E+00    0.1115760596E+01    0.2932186713E+01
    0.3499376824E+00    0.1000238090E+01    0.2802400252E+01
    0.3678793710E+00    0.8900718642E+00    0.2676368513E+01
    0.3867409497E+00    0.7856278575E+00    0.2554304767E+01
    0.4065695822E+00    0.6871834569E+00    0.2436374788E+01
    0.4274148504E+00    0.5949987143E+00    0.2322697654E+01
    0.4493288784E+00    0.5092361924E+00    0.2213347663E+01
    0.4723664626E+00    0.4300410229E+00    0.2108357228E+01
    0.4965852091E+00    0.3574574245E+00    0.2007720585E+01
    0.5220456772E+00    0.2915130497E+00    0.1911398099E+01
    0.5488115314E+00    0.2321344658E+00    0.1819320967E+01
    0.5769497003E+00    0.1792347323E+00    0.1731396072E+01
    0.6065305440E+00    0.1326316828E+00    0.1647510806E+01
    0.6376280300E+00    0.9213240131E-01    0.1567537671E+01
