natx =      571
    x       y        z       iph  
     -2.49025    -10.95950     -0.84012   3     11.27022
     -2.49025     10.95950     -0.84012   3     11.27022
     -6.26522     -6.26256     -7.03217   3     11.31035
     -6.26522      6.26256     -7.03217   3     11.31035
      7.63465     -7.82820      2.94451   2     11.32425
      7.63465      7.82820      2.94451   2     11.32425
     -7.29290      0.00000     -8.69043   2     11.34504
     -5.38954     -7.82820     -6.20733   2     11.35160
     -5.38954      7.82820     -6.20733   2     11.35160
     -5.98688     -9.39384     -2.21229   3     11.35699
     -5.98688      9.39384     -2.21229   3     11.35699
      8.63922     -6.26256      3.89100   3     11.35763
      8.63922      6.26256      3.89100   3     11.35763
     -7.39166     -1.56564      8.51262   2     11.38212
     -7.39166      1.56564      8.51262   2     11.38212
     -4.50644     -9.39384      4.68968   3     11.42564
     -4.50644      9.39384      4.68968   3     11.42564
    -10.63890     -3.13128      2.79938   3     11.43799
    -10.63890      3.13128      2.79938   3     11.43799
      7.75613     -4.69692     -7.00601   2     11.45874
      7.75613      4.69692     -7.00601   2     11.45874
     -6.15076     -1.56564     -9.55605   3     11.47176
     -6.15076      1.56564     -9.55605   3     11.47176
     10.93380     -1.56564      3.18108   3     11.49428
     10.93380      1.56564      3.18108   3     11.49428
     -9.46032     -1.56564     -6.38232   2     11.51881
     -9.46032      1.56564     -6.38232   2     11.51881
      1.10466     -9.39384     -6.62061   2     11.54543
      1.10466      9.39384     -6.62061   2     11.54543
     -6.56650     -7.82820      5.38883   3     11.55159
     -6.56650      7.82820      5.38883   3     11.55159
      8.80731     -4.69692      5.82409   1     11.55637
      8.80731      4.69692      5.82409   1     11.55637
     -4.38173     -3.13128     10.22590   1     11.55740
     -4.38173      3.13128     10.22590   1     11.55740
     11.11360     -3.13128      0.71060   3     11.56814
     11.11360      3.13128      0.71060   3     11.56814
      5.85277     -3.13128     -9.48910   2     11.58028
      5.85277      3.13128     -9.48910   2     11.58028
     -7.64006     -6.26256      6.04263   2     11.58031
     -7.64006      6.26256      6.04263   2     11.58031
      6.70065     -7.82820     -5.36037   3     11.61521
