 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5774220662E+01    0.7654760892E+01
    0.1584612949E-03    0.5774220559E+01    0.7654760786E+01
    0.1665857792E-03    0.5774220346E+01    0.7654760570E+01
    0.1751268148E-03    0.5774220018E+01    0.7654760235E+01
    0.1841057586E-03    0.5774219566E+01    0.7654759774E+01
    0.1935450626E-03    0.5774218982E+01    0.7654759179E+01
    0.2034683302E-03    0.5774218256E+01    0.7654758440E+01
    0.2139003746E-03    0.5774217378E+01    0.7654757544E+01
    0.2248672813E-03    0.5774216335E+01    0.7654756481E+01
    0.2363964733E-03    0.5774215113E+01    0.7654755236E+01
    0.2485167797E-03    0.5774213697E+01    0.7654753793E+01
    0.2612585075E-03    0.5774212070E+01    0.7654752135E+01
    0.2746535176E-03    0.5774210213E+01    0.7654750242E+01
    0.2887353046E-03    0.5774208104E+01    0.7654748093E+01
    0.3035390802E-03    0.5774205721E+01    0.7654745664E+01
    0.3191018616E-03    0.5774203036E+01    0.7654742928E+01
    0.3354625639E-03    0.5774200022E+01    0.7654739855E+01
    0.3526620974E-03    0.5774196645E+01    0.7654736414E+01
    0.3707434697E-03    0.5774192871E+01    0.7654732567E+01
    0.3897518939E-03    0.5774188659E+01    0.7654728274E+01
    0.4097349008E-03    0.5774183966E+01    0.7654723491E+01
    0.4307424584E-03    0.5774178743E+01    0.7654718168E+01
    0.4528270965E-03    0.5774172938E+01    0.7654712251E+01
    0.4760440382E-03    0.5774166491E+01    0.7654705680E+01
    0.5004513380E-03    0.5774159336E+01    0.7654698388E+01
    0.5261100268E-03    0.5774151401E+01    0.7654690301E+01
    0.5530842647E-03    0.5774142606E+01    0.7654681337E+01
    0.5814415013E-03    0.5774132864E+01    0.7654671407E+01
    0.6112526445E-03    0.5774122075E+01    0.7654660412E+01
    0.6425922378E-03    0.5774110133E+01    0.7654648240E+01
    0.6755386463E-03    0.5774096917E+01    0.7654634771E+01
    0.7101742534E-03    0.5774082298E+01    0.7654619871E+01
    0.7465856660E-03    0.5774066128E+01    0.7654603391E+01
    0.7848639316E-03    0.5774048249E+01    0.7654585168E+01
    0.8251047659E-03    0.5774028481E+01    0.7654565021E+01
    0.8674087919E-03    0.5774006631E+01    0.7654542750E+01
    0.9118817916E-03    0.5773982481E+01    0.7654518137E+01
    0.9586349708E-03    0.5773955793E+01    0.7654490937E+01
