 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5729213235E+01    0.7654760892E+01
    0.1584612949E-03    0.5729213132E+01    0.7654760786E+01
    0.1665857792E-03    0.5729212919E+01    0.7654760570E+01
    0.1751268148E-03    0.5729212590E+01    0.7654760235E+01
    0.1841057586E-03    0.5729212138E+01    0.7654759774E+01
    0.1935450626E-03    0.5729211554E+01    0.7654759179E+01
    0.2034683302E-03    0.5729210828E+01    0.7654758440E+01
    0.2139003746E-03    0.5729209949E+01    0.7654757544E+01
    0.2248672813E-03    0.5729208905E+01    0.7654756481E+01
    0.2363964733E-03    0.5729207683E+01    0.7654755236E+01
    0.2485167797E-03    0.5729206266E+01    0.7654753793E+01
    0.2612585075E-03    0.5729204638E+01    0.7654752135E+01
    0.2746535176E-03    0.5729202780E+01    0.7654750242E+01
    0.2887353046E-03    0.5729200670E+01    0.7654748093E+01
    0.3035390802E-03    0.5729198285E+01    0.7654745664E+01
    0.3191018616E-03    0.5729195599E+01    0.7654742928E+01
    0.3354625639E-03    0.5729192583E+01    0.7654739855E+01
    0.3526620974E-03    0.5729189204E+01    0.7654736414E+01
    0.3707434697E-03    0.5729185427E+01    0.7654732567E+01
    0.3897518939E-03    0.5729181212E+01    0.7654728274E+01
    0.4097349008E-03    0.5729176517E+01    0.7654723491E+01
    0.4307424584E-03    0.5729171291E+01    0.7654718168E+01
    0.4528270965E-03    0.5729165482E+01    0.7654712251E+01
    0.4760440382E-03    0.5729159031E+01    0.7654705680E+01
    0.5004513380E-03    0.5729151872E+01    0.7654698388E+01
    0.5261100268E-03    0.5729143932E+01    0.7654690301E+01
    0.5530842647E-03    0.5729135132E+01    0.7654681337E+01
    0.5814415013E-03    0.5729125384E+01    0.7654671407E+01
    0.6112526445E-03    0.5729114588E+01    0.7654660412E+01
    0.6425922378E-03    0.5729102639E+01    0.7654648240E+01
    0.6755386463E-03    0.5729089416E+01    0.7654634771E+01
    0.7101742534E-03    0.5729074787E+01    0.7654619871E+01
    0.7465856660E-03    0.5729058608E+01    0.7654603391E+01
    0.7848639316E-03    0.5729040717E+01    0.7654585168E+01
    0.8251047659E-03    0.5729020938E+01    0.7654565021E+01
    0.8674087919E-03    0.5728999074E+01    0.7654542750E+01
    0.9118817916E-03    0.5728974909E+01    0.7654518137E+01
    0.9586349708E-03    0.5728948205E+01    0.7654490937E+01
    0.1007785237E-02    0.5728918699E+01    0.7654460882E+01
    0.1059455491E-02    0.5728886099E+01    0.7654427676E+01
    0.1113774935E-02    0.5728850084E+01    0.7654390992E+01
    0.1170879397E-02    0.5728810302E+01    0.7654350470E+01
    0.1230911668E-02    0.5728766360E+01    0.7654305712E+01
    0.1294021859E-02    0.5728717829E+01    0.7654256278E+01
    0.1360367778E-02    0.5728664232E+01    0.7654201685E+01
    0.1430115326E-02    0.5728605045E+01    0.7654141399E+01
    0.1503438906E-02    0.5728539689E+01    0.7654074829E+01
    0.1580521867E-02    0.5728467528E+01    0.7654001326E+01
    0.1661556956E-02    0.5728387855E+01    0.7653920173E+01
    0.1746746803E-02    0.5728299897E+01    0.7653830581E+01
    0.1836304427E-02    0.5728202798E+01    0.7653731677E+01
    0.1930453768E-02    0.5728095614E+01    0.7653622501E+01
    0.2029430249E-02    0.5727977306E+01    0.7653501995E+01
    0.2133481363E-02    0.5727846730E+01    0.7653368991E+01
    0.2242867292E-02    0.5727702621E+01    0.7653222205E+01
    0.2357861557E-02    0.5727543591E+01    0.7653060219E+01
    0.2478751704E-02    0.5727368106E+01    0.7652881473E+01
    0.2605840021E-02    0.5727174479E+01    0.7652684248E+01
    0.2739444296E-02    0.5726960851E+01    0.7652466651E+01
    0.2879898609E-02    0.5726725177E+01    0.7652226597E+01
    0.3027554168E-02    0.5726465204E+01    0.7651961793E+01
