 # r       w_scrn(r)      v_ch(r)
    0.2472352175E-01    0.5585556895E+01    0.7497153872E+01
    0.2599112382E-01    0.5570965654E+01    0.7482282299E+01
    0.2732371724E-01    0.5555085126E+01    0.7466096740E+01
    0.2872463418E-01    0.5537814420E+01    0.7448494377E+01
    0.3019737766E-01    0.5519046677E+01    0.7429366319E+01
    0.3174563032E-01    0.5498669018E+01    0.7408597533E+01
    0.3337326359E-01    0.5476562530E+01    0.7386066845E+01
    0.3508434741E-01    0.5452602328E+01    0.7361646988E+01
    0.3688316037E-01    0.5426657674E+01    0.7335204737E+01
    0.3877420044E-01    0.5398592196E+01    0.7306601114E+01
    0.4076219620E-01    0.5368264182E+01    0.7275691705E+01
    0.4285211869E-01    0.5335526999E+01    0.7242327065E+01
    0.4504919380E-01    0.5300229614E+01    0.7206353261E+01
    0.4735891536E-01    0.5262217260E+01    0.7167612535E+01
    0.4978705887E-01    0.5221332231E+01    0.7125944116E+01
    0.5233969597E-01    0.5177414844E+01    0.7081185186E+01
    0.5502320956E-01    0.5130304568E+01    0.7033172016E+01
    0.5784430984E-01    0.5079841308E+01    0.6981741274E+01
    0.6081005103E-01    0.5025866905E+01    0.6926731515E+01
    0.6392784901E-01    0.4968226790E+01    0.6867984862E+01
    0.6720549992E-01    0.4906771871E+01    0.6805348874E+01
    0.7065119958E-01    0.4841360547E+01    0.6738678599E+01
    0.7427356405E-01    0.4771860998E+01    0.6667838802E+01
    0.7808165111E-01    0.4698153527E+01    0.6592706365E+01
    0.8208498297E-01    0.4620133212E+01    0.6513172828E+01
    0.8629357004E-01    0.4537712496E+01    0.6429147046E+01
    0.9071793599E-01    0.4450824120E+01    0.6340557938E+01
    0.9536914403E-01    0.4359423833E+01    0.6247357273E+01
    0.1002588246E+00    0.4263493465E+01    0.6149522455E+01
    0.1053992045E+00    0.4163043549E+01    0.6047059233E+01
    0.1108031372E+00    0.4058116345E+01    0.5940004291E+01
    0.1164841356E+00    0.3948788118E+01    0.5828427622E+01
    0.1224564049E+00    0.3835171856E+01    0.5712434629E+01
    0.1287348790E+00    0.3717418878E+01    0.5592167846E+01
    0.1353352574E+00    0.3595720980E+01    0.5467808215E+01
    0.1422740444E+00    0.3470311024E+01    0.5339575826E+01
    0.1495685907E+00    0.3341464201E+01    0.5207730034E+01
    0.1572371363E+00    0.3209497263E+01    0.5072568887E+01
    0.1652988567E+00    0.3074768676E+01    0.4934427804E+01
    0.1737739103E+00    0.2937676198E+01    0.4793677460E+01
    0.1826834892E+00    0.2798655728E+01    0.4650720839E+01
    0.1920498720E+00    0.2658177079E+01    0.4505989473E+01
    0.2018964795E+00    0.2516741526E+01    0.4359938889E+01
    0.2122479333E+00    0.2374875745E+01    0.4213043302E+01
    0.2231301176E+00    0.2233128190E+01    0.4065789680E+01
    0.2345702434E+00    0.2092061405E+01    0.3918671263E+01
    0.2465969169E+00    0.1952247644E+01    0.3772180712E+01
    0.2592402112E+00    0.1814259906E+01    0.3626803060E+01
    0.2725317411E+00    0.1678667268E+01    0.3483008652E+01
    0.2865047422E+00    0.1546025248E+01    0.3341246303E+01
    0.3011941545E+00    0.1416871554E+01    0.3201936884E+01
    0.3166367090E+00    0.1291716331E+01    0.3065467533E+01
    0.3328710202E+00    0.1171038895E+01    0.2932186713E+01
