 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5741218573E+01    0.7654760892E+01
    0.1584612949E-03    0.5741218469E+01    0.7654760787E+01
    0.1665857792E-03    0.5741218256E+01    0.7654760570E+01
    0.1751268148E-03    0.5741217928E+01    0.7654760235E+01
    0.1841057586E-03    0.5741217476E+01    0.7654759775E+01
    0.1935450626E-03    0.5741216892E+01    0.7654759180E+01
    0.2034683302E-03    0.5741216166E+01    0.7654758440E+01
    0.2139003746E-03    0.5741215288E+01    0.7654757545E+01
    0.2248672813E-03    0.5741214245E+01    0.7654756482E+01
    0.2363964733E-03    0.5741213023E+01    0.7654755236E+01
    0.2485167797E-03    0.5741211607E+01    0.7654753793E+01
    0.2612585075E-03    0.5741209980E+01    0.7654752135E+01
    0.2746535176E-03    0.5741208122E+01    0.7654750242E+01
    0.2887353046E-03    0.5741206014E+01    0.7654748093E+01
    0.3035390802E-03    0.5741203630E+01    0.7654745664E+01
    0.3191018616E-03    0.5741200945E+01    0.7654742928E+01
    0.3354625639E-03    0.5741197931E+01    0.7654739856E+01
    0.3526620974E-03    0.5741194554E+01    0.7654736414E+01
    0.3707434697E-03    0.5741190779E+01    0.7654732567E+01
    0.3897518939E-03    0.5741186566E+01    0.7654728274E+01
    0.4097349008E-03    0.5741181873E+01    0.7654723491E+01
    0.4307424584E-03    0.5741176650E+01    0.7654718169E+01
    0.4528270965E-03    0.5741170845E+01    0.7654712252E+01
    0.4760440382E-03    0.5741164397E+01    0.7654705681E+01
    0.5004513380E-03    0.5741157241E+01    0.7654698388E+01
    0.5261100268E-03    0.5741149306E+01    0.7654690301E+01
    0.5530842647E-03    0.5741140511E+01    0.7654681338E+01
    0.5814415013E-03    0.5741130767E+01    0.7654671408E+01
    0.6112526445E-03    0.5741119977E+01    0.7654660412E+01
    0.6425922378E-03    0.5741108034E+01    0.7654648241E+01
    0.6755386463E-03    0.5741094818E+01    0.7654634772E+01
    0.7101742534E-03    0.5741080197E+01    0.7654619871E+01
    0.7465856660E-03    0.5741064026E+01    0.7654603391E+01
    0.7848639316E-03    0.5741046145E+01    0.7654585168E+01
    0.8251047659E-03    0.5741026376E+01    0.7654565021E+01
    0.8674087919E-03    0.5741004524E+01    0.7654542751E+01
    0.9118817916E-03    0.5740980372E+01    0.7654518137E+01
    0.9586349708E-03    0.5740953682E+01    0.7654490937E+01
    0.1007785237E-02    0.5740924191E+01    0.7654460882E+01
    0.1059455491E-02    0.5740891608E+01    0.7654427676E+01
    0.1113774935E-02    0.5740855613E+01    0.7654390993E+01
    0.1170879397E-02    0.5740815851E+01    0.7654350471E+01
    0.1230911668E-02    0.5740771932E+01    0.7654305712E+01
    0.1294021859E-02    0.5740723426E+01    0.7654256279E+01
    0.1360367778E-02    0.5740669858E+01    0.7654201686E+01
    0.1430115326E-02    0.5740610702E+01    0.7654141399E+01
    0.1503438906E-02    0.5740545381E+01    0.7654074829E+01
    0.1580521867E-02    0.5740473257E+01    0.7654001326E+01
    0.1661556956E-02    0.5740393627E+01    0.7653920174E+01
    0.1746746803E-02    0.5740305715E+01    0.7653830581E+01
    0.1836304427E-02    0.5740208666E+01    0.7653731677E+01
    0.1930453768E-02    0.5740101539E+01    0.7653622501E+01
    0.2029430249E-02    0.5739983293E+01    0.7653501995E+01
    0.2133481363E-02    0.5739852785E+01    0.7653368992E+01
    0.2242867292E-02    0.5739708753E+01    0.7653222206E+01
    0.2357861557E-02    0.5739549806E+01    0.7653060220E+01
    0.2478751704E-02    0.5739374413E+01    0.7652881473E+01
    0.2605840021E-02    0.5739180887E+01    0.7652684248E+01
    0.2739444296E-02    0.5738967372E+01    0.7652466651E+01
    0.2879898609E-02    0.5738731822E+01    0.7652226598E+01
    0.3027554168E-02    0.5738471986E+01    0.7651961794E+01
    0.3182780189E-02    0.5738185385E+01    0.7651669713E+01
    0.3345964819E-02    0.5737869293E+01    0.7651347578E+01
    0.3517516104E-02    0.5737520710E+01    0.7650992331E+01
    0.3697863011E-02    0.5737136335E+01    0.7650600608E+01
    0.3887456502E-02    0.5736712540E+01    0.7650168711E+01
    0.4086770659E-02    0.5736245336E+01    0.7649692575E+01
    0.4296303871E-02    0.5735730338E+01    0.7649167732E+01
    0.4516580081E-02    0.5735162727E+01    0.7648589270E+01
    0.4748150094E-02    0.5734537212E+01    0.7647951797E+01
    0.4991592955E-02    0.5733847980E+01    0.7647249389E+01
    0.5247517398E-02    0.5733088651E+01    0.7646475545E+01
    0.5516563369E-02    0.5732252224E+01    0.7645623129E+01
    0.5799403621E-02    0.5731331018E+01    0.7644684314E+01
    0.6096745403E-02    0.5730316610E+01    0.7643650515E+01
    0.6409332224E-02    0.5729199768E+01    0.7642512325E+01
    0.6737945714E-02    0.5727970375E+01    0.7641259433E+01
    0.7083407578E-02    0.5726617352E+01    0.7639880549E+01
    0.7446581651E-02    0.5725128572E+01    0.7638363314E+01
    0.7828376056E-02    0.5723490764E+01    0.7636694204E+01
    0.8229745479E-02    0.5721689417E+01    0.7634858430E+01
    0.8651693553E-02    0.5719708670E+01    0.7632839829E+01
    0.9095275367E-02    0.5717531198E+01    0.7630620745E+01
    0.9561600107E-02    0.5715138086E+01    0.7628181903E+01
    0.1005183383E-01    0.5712508702E+01    0.7625502275E+01
    0.1056720237E-01    0.5709620549E+01    0.7622558937E+01
    0.1110899442E-01    0.5706449121E+01    0.7619326915E+01
    0.1167856474E-01    0.5702967738E+01    0.7615779020E+01
    0.1227733756E-01    0.5699147382E+01    0.7611885680E+01
    0.1290681012E-01    0.5694956514E+01    0.7607614758E+01
    0.1356855642E-01    0.5690360892E+01    0.7602931355E+01
    0.1426423119E-01    0.5685323366E+01    0.7597797616E+01
    0.1499557396E-01    0.5679803681E+01    0.7592172520E+01
    0.1576441348E-01    0.5673758257E+01    0.7586011656E+01
    0.1657267224E-01    0.5667139973E+01    0.7579267006E+01
    0.1742237132E-01    0.5659897935E+01    0.7571886711E+01
    0.1831563540E-01    0.5651977251E+01    0.7563814831E+01
    0.1925469810E-01    0.5643318788E+01    0.7554991112E+01
    0.2024190758E-01    0.5633858945E+01    0.7545350742E+01
    0.2127973238E-01    0.5623529409E+01    0.7534824116E+01
    0.2237076759E-01    0.5612256941E+01    0.7523336598E+01
    0.2351774137E-01    0.5599963135E+01    0.7510808301E+01
    0.2472352175E-01    0.5586564232E+01    0.7497153872E+01
    0.2599112382E-01    0.5571970908E+01    0.7482282300E+01
    0.2732371724E-01    0.5556088125E+01    0.7466096740E+01
    0.2872463418E-01    0.5538814974E+01    0.7448494378E+01
    0.3019737766E-01    0.5520044590E+01    0.7429366319E+01
    0.3174563032E-01    0.5499664076E+01    0.7408597534E+01
