 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.5739475775E+01    0.7654760892E+01
    0.1584612949E-03    0.5739475671E+01    0.7654760786E+01
    0.1665857792E-03    0.5739475458E+01    0.7654760570E+01
    0.1751268148E-03    0.5739475129E+01    0.7654760235E+01
    0.1841057586E-03    0.5739474676E+01    0.7654759774E+01
    0.1935450626E-03    0.5739474091E+01    0.7654759179E+01
    0.2034683302E-03    0.5739473364E+01    0.7654758440E+01
    0.2139003746E-03    0.5739472483E+01    0.7654757544E+01
    0.2248672813E-03    0.5739471438E+01    0.7654756481E+01
    0.2363964733E-03    0.5739470214E+01    0.7654755236E+01
    0.2485167797E-03    0.5739468795E+01    0.7654753793E+01
    0.2612585075E-03    0.5739467164E+01    0.7654752135E+01
    0.2746535176E-03    0.5739465303E+01    0.7654750242E+01
    0.2887353046E-03    0.5739463190E+01    0.7654748093E+01
    0.3035390802E-03    0.5739460802E+01    0.7654745664E+01
    0.3191018616E-03    0.5739458111E+01    0.7654742928E+01
    0.3354625639E-03    0.5739455090E+01    0.7654739855E+01
    0.3526620974E-03    0.5739451706E+01    0.7654736414E+01
    0.3707434697E-03    0.5739447924E+01    0.7654732567E+01
    0.3897518939E-03    0.5739443703E+01    0.7654728274E+01
    0.4097349008E-03    0.5739439000E+01    0.7654723491E+01
    0.4307424584E-03    0.5739433766E+01    0.7654718168E+01
    0.4528270965E-03    0.5739427949E+01    0.7654712251E+01
    0.4760440382E-03    0.5739421488E+01    0.7654705680E+01
    0.5004513380E-03    0.5739414317E+01    0.7654698388E+01
    0.5261100268E-03    0.5739406366E+01    0.7654690301E+01
    0.5530842647E-03    0.5739397552E+01    0.7654681337E+01
    0.5814415013E-03    0.5739387789E+01    0.7654671407E+01
    0.6112526445E-03    0.5739376977E+01    0.7654660412E+01
    0.6425922378E-03    0.5739365009E+01    0.7654648240E+01
    0.6755386463E-03    0.5739351766E+01    0.7654634771E+01
    0.7101742534E-03    0.5739337115E+01    0.7654619871E+01
    0.7465856660E-03    0.5739320911E+01    0.7654603391E+01
    0.7848639316E-03    0.5739302993E+01    0.7654585168E+01
    0.8251047659E-03    0.5739283183E+01    0.7654565021E+01
    0.8674087919E-03    0.5739261286E+01    0.7654542750E+01
    0.9118817916E-03    0.5739237084E+01    0.7654518137E+01
    0.9586349708E-03    0.5739210340E+01    0.7654490937E+01
    0.1007785237E-02    0.5739180788E+01    0.7654460882E+01
    0.1059455491E-02    0.5739148138E+01    0.7654427676E+01
    0.1113774935E-02    0.5739112069E+01    0.7654390992E+01
    0.1170879397E-02    0.5739072225E+01    0.7654350470E+01
    0.1230911668E-02    0.5739028216E+01    0.7654305712E+01
    0.1294021859E-02    0.5738979611E+01    0.7654256278E+01
    0.1360367778E-02    0.5738925932E+01    0.7654201685E+01
    0.1430115326E-02    0.5738866654E+01    0.7654141399E+01
    0.1503438906E-02    0.5738801199E+01    0.7654074829E+01
